NAME,B23025_001E,B23025_003E,B23025_004E,B23025_005E,B23025_007E,state,county
"Adams County, Indiana",25897,15849,15428,421,10047,18,001
"Allen County, Indiana",300859,199586,190355,9231,101029,18,003
"Bartholomew County, Indiana",65272,42894,41316,1578,22249,18,005
"Benton County, Indiana",6747,4164,4016,148,2583,18,007
"Blackford County, Indiana",9661,5255,4965,290,4406,18,009
"Boone County, Indiana",56196,39244,38055,1189,16952,18,011
"Brown County, Indiana",13340,7662,7420,242,5678,18,013
"Carroll County, Indiana",16515,10268,9975,293,6247,18,015
"Cass County, Indiana",30252,18930,18290,640,11278,18,017
"Clark County, Indiana",98711,65380,62922,2458,33265,18,019
"Clay County, Indiana",20990,12321,11839,482,8634,18,021
"Clinton County, Indiana",25171,16299,15786,513,8854,18,023
"Crawford County, Indiana",8458,4430,4317,113,4028,18,025
"Daviess County, Indiana",24668,15256,14999,257,9393,18,027
"Dearborn County, Indiana",41142,26129,25530,599,14978,18,029
"Decatur County, Indiana",20761,13773,13411,362,6948,18,031
"DeKalb County, Indiana",34266,22560,21631,929,11679,18,033
"Delaware County, Indiana",94038,56114,52649,3465,37906,18,035
"Dubois County, Indiana",34190,23011,22531,480,11152,18,037
"Elkhart County, Indiana",156106,101598,98106,3492,54508,18,039
"Fayette County, Indiana",18950,10796,10351,445,8154,18,041
"Floyd County, Indiana",64657,41473,39880,1593,23012,18,043
"Fountain County, Indiana",13225,8189,7821,368,5036,18,045
"Franklin County, Indiana",18493,11607,11236,371,6886,18,047
"Fulton County, Indiana",16097,9469,8772,697,6619,18,049
"Gibson County, Indiana",25982,16237,15762,475,9745,18,051
"Grant County, Indiana",53940,31982,29839,2143,21949,18,053
"Greene County, Indiana",25114,14810,13857,953,10302,18,055
"Hamilton County, Indiana",275730,196366,190859,5507,78603,18,057
"Hancock County, Indiana",65334,44134,42956,1178,20830,18,059
"Harrison County, Indiana",31934,19391,18663,728,12510,18,061
"Hendricks County, Indiana",140480,96984,94582,2402,43374,18,063
