NAME,DP03_0004PE,DP03_0009PE,DP03_0099PE,DP03_0098PE,DP03_0128PE,DP03_0129PE,state,county
"Adams County, Indiana",59.6,2.7,23.3,28.9,12.4,16.1,18,001
"Allen County, Indiana",63.3,4.6,8.2,34.7,12.2,16.7,18,003
"Bartholomew County, Indiana",63.3,3.7,5.2,33.0,12.0,15.1,18,005
"Benton County, Indiana",59.5,3.6,6.4,39.9,12.1,18.1,18,007
"Blackford County, Indiana",51.4,5.5,7.5,49.3,17.5,18.4,18,009
"Boone County, Indiana",67.7,3.0,4.1,22.9,5.1,4.2,18,011
"Brown County, Indiana",55.6,3.2,6.1,41.4,8.6,9.3,18,013
"Carroll County, Indiana",60.4,2.9,11.8,35.2,8.4,11.5,18,015
"Cass County, Indiana",60.5,3.4,6.9,39.9,12.7,14.7,18,017
"Clark County, Indiana",63.7,3.8,6.3,34.9,9.3,10.7,18,019
"Clay County, Indiana",56.4,3.9,5.7,39.8,10.7,9.8,18,021
"Clinton County, Indiana",62.7,3.1,7.4,34.6,8.5,10.7,18,023
"Crawford County, Indiana",51.0,2.6,6.5,50.7,23.8,35.6,18,025
"Daviess County, Indiana",60.8,1.7,23.6,30.0,10.4,12.4,18,027
"Dearborn County, Indiana",62.1,2.3,4.8,32.9,8.1,9.7,18,029
"Decatur County, Indiana",64.6,2.6,4.0,30.3,9.3,10.3,18,031
"DeKalb County, Indiana",63.1,4.1,6.8,33.6,10.1,14.9,18,033
"Delaware County, Indiana",56.0,6.2,7.2,42.0,19.9,20.2,18,035
"Dubois County, Indiana",65.9,2.1,4.4,29.5,9.5,13.9,18,037
"Elkhart County, Indiana",62.8,3.4,14.7,33.4,12.5,18.8,18,039
"Fayette County, Indiana",54.6,4.1,6.0,48.4,16.7,18.0,18,041
"Floyd County, Indiana",61.7,3.8,5.1,33.3,10.0,15.2,18,043
"Fountain County, Indiana",59.1,4.5,6.9,40.2,12.4,13.9,18,045
"Franklin County, Indiana",60.8,3.2,7.0,34.8,8.5,10.9,18,047
"Fulton County, Indiana",54.5,7.4,9.9,40.3,12.6,17.0,18,049
"Gibson County, Indiana",60.7,2.9,4.2,35.7,10.2,11.0,18,051
"Grant County, Indiana",55.3,6.7,7.2,46.0,18.8,26.4,18,053
"Greene County, Indiana",55.2,6.4,8.1,43.8,13.3,19.6,18,055
"Hamilton County, Indiana",69.2,2.8,4.2,20.6,4.3,4.4,18,057
"Hancock County, Indiana",65.7,2.7,5.2,27.5,4.5,4.3,18,059
"Harrison County, Indiana",58.4,3.8,5.5,35.5,7.5,9.1,18,061
"Hendricks County, Indiana",67.3,2.5,5.6,24.2,5.0,5.3,18,063
"Henry County, Indiana",52.4,4.1,6.7,46.0,13.0,17.0,18,065
"Howard County, Indiana",55.9,5.7,6.7,42.1,12.5,18.1,18,067
"Huntington County, Indiana",61.1,3.2,6.3,37.3,10.1,12.2,18,069
"Jackson County, Indiana",62.4,3.1,9.2,32.3,11.2,15.3,18,071
"Jasper County, Indiana",60.0,3.9,4.4,37.7,6.9,6.8,18,073
"Jay County, Indiana",56.7,3.8,9.7,47.0,13.2,19.2,18,075
"Jefferson County, Indiana",54.7,4.1,8.8,39.0,11.2,13.6,18,077
"Jennings County, Indiana",58.8,4.3,9.0,40.1,12.5,14.7,18,079
"Johnson County, Indiana",64.2,3.0,4.8,29.6,7.2,8.0,18,081
"Knox County, Indiana",61.4,2.5,6.9,39.3,13.4,15.3,18,083
"Kosciusko County, Indiana",62.8,2.9,11.1,33.3,9.7,12.0,18,085
"LaGrange County, Indiana",62.5,3.4,44.3,23.3,5.7,4.0,18,087
"Lake County, Indiana",57.3,6.3,6.8,39.6,14.6,21.8,18,089
"LaPorte County, Indiana",54.7,4.4,6.4,41.1,14.0,23.7,18,091
