B25070_001E,B25070_001EA,B25070_001M,B25070_001MA,B25070_002E,B25070_002EA,B25070_002M,B25070_002MA,B25070_003E,B25070_003EA,B25070_003M,B25070_003MA,B25070_004E,B25070_004EA,B25070_004M,B25070_004MA,B25070_005E,B25070_005EA,B25070_005M,B25070_005MA,B25070_006E,B25070_006EA,B25070_006M,B25070_006MA,B25070_007E,B25070_007EA,B25070_007M,B25070_007MA,B25070_008E,B25070_008EA,B25070_008M,B25070_008MA,B25070_009E,B25070_009EA,B25070_009M,B25070_009MA,B25070_010E,B25070_010EA,B25070_010M,B25070_010MA,B25070_011E,B25070_011EA,B25070_011M,B25070_011MA,GEO_ID,NAME,state,county
2198,,263,,99,,85,,354,,136,,179,,102,,300,,116,,361,,162,,202,,106,,55,,49,,173,,94,,284,,142,,191,,86,,0500000US18001,"Adams County, Indiana",18,001
47601,,1549,,1888,,409,,5138,,631,,6676,,739,,6182,,636,,5045,,603,,3725,,492,,2657,,425,,3513,,496,,10118,,815,,2659,,408,,0500000US18003,"Allen County, Indiana",18,003
9921,,647,,605,,194,,1553,,313,,1100,,238,,862,,241,,1121,,274,,820,,234,,475,,217,,465,,190,,2122,,364,,798,,327,,0500000US18005,"Bartholomew County, Indiana",18,005
675,,109,,11,,11,,74,,32,,80,,35,,75,,42,,87,,48,,68,,45,,6,,6,,29,,20,,134,,58,,111,,64,,0500000US18007,"Benton County, Indiana",18,007
1334,,231,,63,,58,,84,,51,,78,,50,,253,,109,,46,,43,,238,,155,,54,,50,,80,,65,,183,,65,,255,,123,,0500000US18009,"Blackford County, Indiana",18,009
5783,,526,,347,,152,,406,,168,,926,,255,,1088,,281,,719,,239,,593,,214,,499,,180,,228,,124,,738,,234,,239,,150,,0500000US18011,"Boone County, Indiana",18,011
941,,207,,4,,7,,98,,68,,73,,53,,110,,65,,85,,53,,51,,57,,39,,44,,173,,114,,250,,88,,58,,48,,0500000US18013,"Brown County, Indiana",18,013
1548,,243,,94,,53,,185,,78,,294,,116,,259,,101,,205,,98,,92,,70,,128,,95,,35,,29,,129,,62,,127,,68,,0500000US18015,"Carroll County, Indiana",18,015
3679,,373,,233,,105,,532,,147,,557,,203,,308,,131,,439,,182,,150,,72,,262,,129,,395,,186,,424,,158,,379,,142,,0500000US18017,"Cass County, Indiana",18,017
12310,,657,,355,,168,,1181,,265,,1659,,378,,1464,,326,,1268,,294,,1395,,313,,608,,183,,1332,,277,,2136,,394,,912,,252,,0500000US18019,"Clark County, Indiana",18,019
2376,,425,,277,,143,,134,,62,,236,,133,,430,,217,,170,,87,,126,,84,,65,,52,,236,,151,,268,,132,,434,,136,,0500000US18021,"Clay County, Indiana",18,021
3252,,313,,93,,62,,486,,151,,396,,133,,481,,173,,409,,184,,348,,121,,129,,89,,238,,119,,433,,147,,239,,110,,0500000US18023,"Clinton County, Indiana",18,023
862,,184,,76,,54,,104,,86,,32,,20,,140,,89,,83,,48,,29,,27,,87,,86,,40,,34,,121,,76,,150,,57,,0500000US18025,"Crawford County, Indiana",18,025
3294,,324,,256,,136,,265,,101,,606,,197,,282,,103,,156,,71,,284,,158,,275,,168,,155,,76,,518,,158,,497,,147,,0500000US18027,"Daviess County, Indiana",18,027
3075,,404,,168,,96,,260,,119,,313,,126,,393,,144,,591,,203,,205,,104,,136,,79,,236,,106,,511,,215,,262,,110,,0500000US18029,"Dearborn County, Indiana",18,029
2609,,332,,160,,81,,439,,178,,399,,159,,422,,136,,146,,92,,116,,66,,86,,59,,95,,46,,457,,177,,289,,124,,0500000US18031,"Decatur County, Indiana",18,031
3014,,339,,209,,92,,279,,96,,428,,165,,459,,167,,419,,162,,264,,107,,114,,69,,159,,78,,490,,167,,193,,113,,0500000US18033,"DeKalb County, Indiana",18,033
15464,,752,,648,,208,,1210,,330,,1471,,267,,1686,,319,,1812,,368,,1114,,285,,855,,239,,899,,243,,4512,,510,,1257,,284,,0500000US18035,"Delaware County, Indiana",18,035
4222,,428,,509,,237,,630,,246,,469,,220,,631,,204,,472,,197,,162,,87,,290,,143,,81,,51,,668,,224,,310,,109,,0500000US18037,"Dubois County, Indiana",18,037
20634,,947,,811,,233,,1562,,304,,2460,,450,,2335,,347,,2099,,384,,1846,,394,,1315,,304,,1452,,306,,4789,,567,,1965,,524,,0500000US18039,"Elkhart County, Indiana",18,039
2791,,261,,111,,70,,345,,137,,346,,128,,268,,127,,149,,68,,213,,106,,120,,116,,336,,128,,680,,190,,223,,109,,0500000US18041,"Fayette County, Indiana",18,041
8385,,586,,337,,160,,671,,187,,1126,,218,,1100,,251,,1162,,310,,679,,215,,574,,177,,751,,208,,1576,,316,,409,,134,,0500000US18043,"Floyd County, Indiana",18,043
1731,,233,,24,,16,,309,,117,,275,,99,,120,,63,,165,,94,,169,,105,,70,,47,,56,,35,,188,,56,,355,,149,,0500000US18045,"Fountain County, Indiana",18,045
1691,,290,,293,,200,,134,,49,,79,,45,,127,,76,,185,,109,,95,,57,,37,,38,,65,,52,,326,,114,,350,,140,,0500000US18047,"Franklin County, Indiana",18,047
1733,,261,,119,,85,,192,,104,,311,,140,,212,,129,,175,,117,,64,,53,,65,,59,,123,,85,,325,,127,,147,,62,,0500000US18049,"Fulton County, Indiana",18,049
3188,,294,,185,,97,,505,,156,,395,,133,,409,,134,,428,,167,,275,,111,,78,,42,,212,,108,,398,,115,,303,,126,,0500000US18051,"Gibson County, Indiana",18,051
7554,,637,,410,,190,,860,,243,,1015,,242,,901,,233,,713,,168,,474,,157,,394,,132,,465,,143,,1518,,349,,804,,209,,0500000US18053,"Grant County, Indiana",18,053
3160,,360,,91,,53,,334,,133,,473,,160,,334,,109,,255,,143,,278,,119,,143,,136,,127,,54,,464,,149,,661,,189,,0500000US18055,"Greene County, Indiana",18,055
31582,,1427,,1650,,349,,2998,,537,,5258,,721,,4501,,613,,3601,,591,,3021,,534,,1862,,462,,2101,,447,,5365,,678,,1225,,341,,0500000US18057,"Hamilton County, Indiana",18,057
6582,,560,,193,,90,,714,,273,,1310,,340,,835,,214,,545,,156,,843,,296,,612,,186,,368,,159,,770,,242,,392,,168,,0500000US18059,"Hancock County, Indiana",18,059
2368,,343,,64,,51,,246,,125,,317,,175,,295,,171,,263,,127,,115,,72,,200,,119,,113,,60,,267,,105,,488,,159,,0500000US18061,"Harrison County, Indiana",18,061
14584,,942,,601,,344,,1229,,271,,2126,,459,,2371,,394,,1328,,389,,1434,,337,,972,,309,,1344,,448,,2570,,505,,609,,194,,0500000US18063,"Hendricks County, Indiana",18,063
4442,,349,,417,,147,,622,,179,,508,,127,,519,,148,,520,,161,,330,,142,,240,,98,,387,,137,,567,,134,,332,,109,,0500000US18065,"Henry County, Indiana",18,065
9882,,627,,344,,154,,1081,,336,,990,,291,,1080,,277,,928,,248,,836,,308,,890,,216,,620,,185,,2060,,350,,1053,,348,,0500000US18067,"Howard County, Indiana",18,067
3628,,289,,147,,96,,414,,114,,494,,163,,357,,134,,549,,153,,285,,118,,235,,113,,263,,103,,462,,145,,422,,172,,0500000US18069,"Huntington County, Indiana",18,069
4707,,476,,285,,175,,660,,226,,480,,234,,560,,204,,556,,196,,441,,205,,372,,186,,302,,159,,504,,157,,547,,180,,0500000US18071,"Jackson County, Indiana",18,071
2117,,287,,130,,81,,255,,91,,226,,93,,201,,94,,182,,96,,259,,123,,146,,90,,233,,104,,216,,82,,269,,104,,0500000US18073,"Jasper County, Indiana",18,073
