NAME,B19013_001E,B17001_001E,B17001_002E,state,county
"Adams County, Indiana",63128,35459,4411,18,001
"Allen County, Indiana",68839,382081,46610,18,003
"Bartholomew County, Indiana",80365,81753,9813,18,005
"Benton County, Indiana",61811,8590,1038,18,007
"Blackford County, Indiana",47560,11827,2069,18,009
"Boone County, Indiana",104865,71745,3689,18,011
"Brown County, Indiana",72644,15322,1321,18,013
"Carroll County, Indiana",64003,20228,1698,18,015
"Cass County, Indiana",56525,36802,4674,18,017
"Clark County, Indiana",72298,121001,11232,18,019
"Clay County, Indiana",67676,25744,2744,18,021
"Clinton County, Indiana",63690,32102,2744,18,023
"Crawford County, Indiana",48993,10422,2483,18,025
"Daviess County, Indiana",68561,32757,3419,18,027
"Dearborn County, Indiana",82693,50064,4075,18,029
"Decatur County, Indiana",74228,25853,2416,18,031
"DeKalb County, Indiana",70080,43033,4354,18,033
"Delaware County, Indiana",56932,104356,20789,18,035
"Dubois County, Indiana",71918,42619,4055,18,037
"Elkhart County, Indiana",65617,203468,25517,18,039
"Fayette County, Indiana",56659,22914,3830,18,041
"Floyd County, Indiana",78179,78877,7877,18,043
"Fountain County, Indiana",62526,16348,2032,18,045
"Franklin County, Indiana",79702,22782,1942,18,047
"Fulton County, Indiana",62878,20132,2541,18,049
"Gibson County, Indiana",67763,32239,3300,18,051
"Grant County, Indiana",54007,61054,11499,18,053
"Greene County, Indiana",59753,30548,4057,18,055
"Hamilton County, Indiana",117957,354549,15422,18,057
"Hancock County, Indiana",91326,81154,3642,18,059
"Harrison County, Indiana",72468,39291,2956,18,061
"Hendricks County, Indiana",99988,174882,8738,18,063
"Henry County, Indiana",60144,45704,5957,18,065
"Howard County, Indiana",62496,82161,10292,18,067
"Huntington County, Indiana",62734,35291,3564,18,069
"Jackson County, Indiana",70208,45150,5067,18,071
"Jasper County, Indiana",79634,32572,2259,18,073
"Jay County, Indiana",54114,20001,2639,18,075
"Jefferson County, Indiana",59987,31017,3489,18,077
"Jennings County, Indiana",68476,26753,3339,18,079
"Johnson County, Indiana",87227,160487,11600,18,081
"Knox County, Indiana",58863,34298,4593,18,083
"Kosciusko County, Indiana",73922,78770,7615,18,085
"LaGrange County, Indiana",83741,40174,2310,18,087
"Lake County, Indiana",68985,493040,72010,18,089
"LaPorte County, Indiana",70452,104852,14691,18,091
"Lawrence County, Indiana",65551,44280,4984,18,093
"Madison County, Indiana",62632,125091,16142,18,095
"Marion County, Indiana",63450,953481,144204,18,097
"Marshall County, Indiana",68041,45480,4979,18,099
"Martin County, Indiana",65345,9697,1594,18,101
"Miami County, Indiana",61130,33512,5083,18,103
"Monroe County, Indiana",63372,125252,25256,18,105
"Montgomery County, Indiana",66571,36730,4388,18,107
"Morgan County, Indiana",79088,71031,6064,18,109
"Newton County, Indiana",68596,13642,1843,18,111
"Noble County, Indiana",70908,46465,3950,18,113
"Ohio County, Indiana",67942,5942,529,18,115
"Orange County, Indiana",64758,19422,2575,18,117
"Owen County, Indiana",59586,21048,2504,18,119
"Parke County, Indiana",66776,15279,2623,18,121
"Perry County, Indiana",61099,17801,2285,18,123
"Pike County, Indiana",66250,11984,1466,18,125
"Porter County, Indiana",85828,170455,15723,18,127
"Posey County, Indiana",79124,24809,2444,18,129
"Pulaski County, Indiana",59956,12193,1442,18,131
"Putnam County, Indiana",76182,32430,2616,18,133
"Randolph County, Indiana",61121,23955,3594,18,135
"Ripley County, Indiana",71084,28505,2733,18,137
"Rush County, Indiana",64393,16419,2135,18,139
"St. Joseph County, Indiana",64885,260632,38013,18,141
"Scott County, Indiana",54583,23529,3467,18,143
"Shelby County, Indiana",71301,44239,5091,18,145
"Spencer County, Indiana",70890,19502,1294,18,147
"Starke County, Indiana",62933,23086,3426,18,149
"Steuben County, Indiana",71483,33046,2912,18,151
"Sullivan County, Indiana",54985,18546,2498,18,153
"Switzerland County, Indiana",65148,9780,1083,18,155
"Tippecanoe County, Indiana",58622,171023,32500,18,157
"Tipton County, Indiana",78309,15093,1741,18,159
"Union County, Indiana",79500,6969,446,18,161
"Vanderburgh County, Indiana",60938,173806,24967,18,163
"Vermillion County, Indiana",59363,15150,2012,18,165
"Vigo County, Indiana",52525,98608,19750,18,167
"Wabash County, Indiana",68414,29185,3136,18,169
"Warren County, Indiana",74635,8338,1061,18,171
"Warrick County, Indiana",95027,63576,4053,18,173
"Washington County, Indiana",61358,27667,3724,18,175
"Wayne County, Indiana",56652,63987,10795,18,177
"Wells County, Indiana",69741,27657,1996,18,179
"White County, Indiana",66143,24318,2422,18,181
"Whitley County, Indiana",75790,33928,3627,18,183
