NAME,B25064_001E,B25003_001E,B25003_002E,B25003_003E,state,county
"Adams County, Indiana",799,12345,10147,2198,18,001
"Allen County, Indiana",976,154183,106582,47601,18,003
"Bartholomew County, Indiana",1110,32984,23063,9921,18,005
"Benton County, Indiana",834,3469,2794,675,18,007
"Blackford County, Indiana",635,5060,3726,1334,18,009
"Boone County, Indiana",1283,27948,22165,5783,18,011
"Brown County, Indiana",960,6695,5754,941,18,013
"Carroll County, Indiana",874,8024,6476,1548,18,015
"Cass County, Indiana",778,14924,11245,3679,18,017
"Clark County, Indiana",1058,49184,36874,12310,18,019
"Clay County, Indiana",837,10541,8165,2376,18,021
"Clinton County, Indiana",915,12396,9144,3252,18,023
"Crawford County, Indiana",629,4573,3711,862,18,025
"Daviess County, Indiana",837,11568,8274,3294,18,027
"Dearborn County, Indiana",848,20148,17073,3075,18,029
"Decatur County, Indiana",828,10518,7909,2609,18,031
"DeKalb County, Indiana",828,17008,13994,3014,18,033
"Delaware County, Indiana",874,46146,30682,15464,18,035
"Dubois County, Indiana",801,17588,13366,4222,18,037
"Elkhart County, Indiana",1023,71760,51126,20634,18,039
"Fayette County, Indiana",779,9479,6688,2791,18,041
"Floyd County, Indiana",990,31173,22788,8385,18,043
"Fountain County, Indiana",837,6854,5123,1731,18,045
"Franklin County, Indiana",803,9131,7440,1691,18,047
"Fulton County, Indiana",861,7927,6194,1733,18,049
"Gibson County, Indiana",914,13156,9968,3188,18,051
"Grant County, Indiana",799,26757,19203,7554,18,053
"Greene County, Indiana",788,12781,9621,3160,18,055
"Hamilton County, Indiana",1468,133171,101589,31582,18,057
"Hancock County, Indiana",1121,32246,25664,6582,18,059
"Harrison County, Indiana",861,15154,12786,2368,18,061
"Hendricks County, Indiana",1364,65839,51255,14584,18,063
"Henry County, Indiana",807,18460,14018,4442,18,065
"Howard County, Indiana",915,35129,25247,9882,18,067
"Huntington County, Indiana",866,15227,11599,3628,18,069
"Jackson County, Indiana",946,17745,13038,4707,18,071
"Jasper County, Indiana",926,12586,10469,2117,18,073
"Jay County, Indiana",766,7959,6211,1748,18,075
"Jefferson County, Indiana",865,12699,8816,3883,18,077
"Jennings County, Indiana",906,10760,8504,2256,18,079
"Johnson County, Indiana",1208,61513,45483,16030,18,081
"Knox County, Indiana",782,15110,9955,5155,18,083
"Kosciusko County, Indiana",995,31747,24438,7309,18,085
"LaGrange County, Indiana",816,12804,10478,2326,18,087
"Lake County, Indiana",1094,193474,137105,56369,18,089
"LaPorte County, Indiana",926,43681,32570,11111,18,091
"Lawrence County, Indiana",800,19156,15321,3835,18,093
"Madison County, Indiana",926,52843,36975,15868,18,095
"Marion County, Indiana",1107,396662,221837,174825,18,097
"Marshall County, Indiana",936,17377,13302,4075,18,099
"Martin County, Indiana",643,3928,3073,855,18,101
"Miami County, Indiana",794,13270,9957,3313,18,103
"Monroe County, Indiana",1151,58264,31949,26315,18,105
"Montgomery County, Indiana",827,15524,12079,3445,18,107
"Morgan County, Indiana",988,27713,22982,4731,18,109
"Newton County, Indiana",927,5591,4486,1105,18,111
"Noble County, Indiana",776,17971,13700,4271,18,113
"Ohio County, Indiana",852,2567,1978,589,18,115
"Orange County, Indiana",838,7994,6296,1698,18,117
"Owen County, Indiana",912,8598,6951,1647,18,119
"Parke County, Indiana",731,5985,4885,1100,18,121
"Perry County, Indiana",676,7751,5808,1943,18,123
"Pike County, Indiana",676,4994,4268,726,18,125
"Porter County, Indiana",1146,68049,52543,15506,18,127
"Posey County, Indiana",744,10270,8430,1840,18,129
"Pulaski County, Indiana",715,4894,3673,1221,18,131
"Putnam County, Indiana",883,13980,10283,3697,18,133
"Randolph County, Indiana",741,10182,7890,2292,18,135
"Ripley County, Indiana",799,11356,8837,2519,18,137
"Rush County, Indiana",831,6650,4878,1772,18,139
"St. Joseph County, Indiana",1030,107005,73649,33356,18,141
"Scott County, Indiana",790,9637,6947,2690,18,143
"Shelby County, Indiana",956,18145,13392,4753,18,145
"Spencer County, Indiana",697,7979,6482,1497,18,147
"Starke County, Indiana",690,8758,7334,1424,18,149
"Steuben County, Indiana",921,13765,11037,2728,18,151
"Sullivan County, Indiana",813,7697,5820,1877,18,153
"Switzerland County, Indiana",720,3897,3111,786,18,155
"Tippecanoe County, Indiana",1088,74415,40112,34303,18,157
"Tipton County, Indiana",854,6265,5126,1139,18,159
"Union County, Indiana",792,2852,2356,496,18,161
"Vanderburgh County, Indiana",964,77198,49772,27426,18,163
"Vermillion County, Indiana",785,6560,4867,1693,18,165
"Vigo County, Indiana",879,42595,26984,15611,18,167
"Wabash County, Indiana",752,12554,10094,2460,18,169
"Warren County, Indiana",815,3359,2722,637,18,171
"Warrick County, Indiana",1008,24697,20381,4316,18,173
"Washington County, Indiana",760,10994,9048,1946,18,175
"Wayne County, Indiana",813,26818,18696,8122,18,177
"Wells County, Indiana",837,11360,8656,2704,18,179
"White County, Indiana",853,9865,7826,2039,18,181
"Whitley County, Indiana",867,13929,11172,2757,18,183
