HOSPITAL_ID,PAYOR1,MSDRG,PATS,PWC,TD,TC,XC,XD
1,1,3,7,7,297,5349026,764146.57,42.43
1,1,4,4,4,106,2912796,728199,26.5
1,1,5,25,25,425,14470179,578807.16,17
1,1,6,10,10,76,3883286,388328.6,7.6
1,1,8,2,2,14,1006491,503245.5,7
1,1,10,1,1,7,364452,364452,7
1,1,11,10,10,142,2961416,296141.6,14.2
1,1,12,13,13,121,2961670,227820.77,9.31
1,1,14,8,8,241,7416215,927026.88,30.13
1,1,16,22,22,357,5702829,259219.5,16.23
1,1,18,3,3,57,985595,328531.67,19
1,1,19,1,1,7,519608,519608,7
1,1,26,1,1,25,234161,234161,25
1,1,41,2,2,4,312706,156353,2
1,1,42,1,1,2,154968,154968,2
1,1,54,2,2,10,86328,43164,5
1,1,56,3,3,24,487817,162605.67,8
1,1,57,1,1,2,17489,17489,2
1,1,64,1,1,9,139621,139621,9
1,1,65,1,1,1,35658,35658,1
1,1,70,1,1,4,41208,41208,4
1,1,71,1,1,12,71161,71161,12
1,1,73,3,3,14,115037,38345.67,4.67
1,1,74,2,2,6,47960,23980,3
1,1,80,1,1,11,118659,118659,11
1,1,91,2,2,16,171099,85549.5,8
1,1,97,1,1,14,420945,420945,14
1,1,99,1,1,11,224492,224492,11
1,1,100,4,4,18,428295,107073.75,4.5
1,1,101,1,1,2,35824,35824,2
1,1,103,1,1,9,78081,78081,9
1,1,135,1,1,2,73454,73454,2
1,1,140,1,1,7,247604,247604,7
1,1,141,3,3,17,454157,151385.67,5.67
1,1,142,1,1,1,70490,70490,1
1,1,144,4,4,22,603225,150806.25,5.5
1,1,145,1,1,2,88191,88191,2
1,1,146,1,1,9,95962,95962,9
1,1,153,2,2,4,79670,39835,2
1,1,155,1,1,7,72172,72172,7
1,1,158,1,1,1,12759,12759,1
1,1,163,12,12,101,2510810,209234.17,8.42
1,1,164,20,20,95,2703947,135197.35,4.75
1,1,165,19,19,45,2044314,107595.47,2.37
1,1,167,1,1,7,102812,102812,7
1,1,168,4,4,11,341843,85460.75,2.75
1,1,175,4,4,32,314213,78553.25,8
1,1,176,2,2,7,77505,38752.5,3.5
1,1,177,18,18,127,1405142,78063.44,7.06
1,1,178,2,2,13,93414,46707,6.5
1,1,180,7,7,35,600132,85733.14,5
1,1,181,2,2,6,58988,29494,3
1,1,186,3,3,9,87878,29292.67,3
1,1,187,3,3,12,100138,33379.33,4
1,1,189,6,6,38,419797,69966.17,6.33
1,1,190,4,4,16,157210,39302.5,4
1,1,191,3,3,14,163986,54662,4.67
1,1,193,9,9,42,483128,53680.89,4.67
1,1,194,8,8,29,312435,39054.38,3.63
1,1,199,1,1,9,111746,111746,9
1,1,200,4,4,10,127876,31969,2.5
1,1,202,2,2,11,152917,76458.5,5.5
1,1,204,1,1,4,23457,23457,4
1,1,205,2,2,8,115350,57675,4
1,1,206,1,1,1,23052,23052,1
1,1,207,1,1,15,332740,332740,15
1,1,208,5,5,128,1306755,261351,25.6
1,1,252,2,2,10,276348,138174,5
1,1,253,1,1,12,203905,203905,12
1,1,270,1,1,22,601286,601286,22
1,1,271,2,2,8,465648,232824,4
1,1,280,2,2,16,218398,109199,8
1,1,287,2,2,12,285124,142562,6
1,1,291,6,6,37,472091,78681.83,6.17
1,1,296,1,1,1,24757,24757,1
1,1,299,3,3,17,291869,97289.67,5.67
1,1,300,5,5,20,183956,36791.2,4
1,1,309,2,2,24,188244,94122,12
1,1,312,8,8,52,441280,55160,6.5
1,1,314,8,8,77,632344,79043,9.63
1,1,315,3,3,8,53470,17823.33,2.67
1,1,321,1,1,4,160129,160129,4
1,1,326,27,27,429,8137596,301392.44,15.89
1,1,327,21,21,153,3206910,152710,7.29
1,1,328,23,23,99,2605466,113281.13,4.3
1,1,329,14,14,195,3151761,225125.79,13.93
1,1,330,35,35,391,5022382,143496.63,11.17
1,1,331,16,16,64,1617917,101119.81,4
1,1,333,1,1,4,160631,160631,4
1,1,334,1,1,2,85288,85288,2
1,1,335,4,4,42,782041,195510.25,10.5
1,1,336,2,2,11,270628,135314,5.5
1,1,337,3,3,7,216557,72185.67,2.33
1,1,345,2,2,8,208449,104224.5,4
1,1,346,2,2,7,177673,88836.5,3.5
1,1,348,1,1,2,93972,93972,2
1,1,350,1,1,7,123279,123279,7
1,1,351,2,2,3,172525,86262.5,1.5
1,1,353,3,3,22,365760,121920,7.33
1,1,354,23,23,96,2769264,120402.78,4.17
1,1,355,10,10,22,780806,78080.6,2.2
1,1,356,3,3,47,1017497,339165.67,15.67
1,1,357,6,6,42,745276,124212.67,7
1,1,358,3,3,12,283855,94618.33,4
1,1,368,6,6,64,816961,136160.17,10.67
1,1,369,3,3,24,251980,83993.33,8
1,1,370,1,1,3,39475,39475,3
1,1,371,5,5,82,786675,157335,16.4
1,1,372,13,13,86,829816,63832,6.62
1,1,374,11,11,89,1148509,104409.91,8.09
1,1,375,6,6,16,291397,48566.17,2.67
1,1,377,13,13,116,1488636,114510.46,8.92
1,1,378,18,18,84,935599,51977.72,4.67
