HOSPITAL_ID,PAYOR1,DIAGNOSIS_1,PATS,PWC,TD,TC,XC,XD,SUBSTANCE_CATEGORY,PAYER_TYPE,AVG_CHARGE,AVG_LOS
1,1,E249,1,1,1,61338,61338.0,1.0,Other Substance Related,Government (Medicare),61338.0,1.0
1,1,F10139,1,1,10,154800,154800.0,10.0,Alcohol Disorders,Government (Medicare),154800.0,10.0
1,1,K2951,1,1,36,492506,492506.0,36.0,Other Substance Related,Government (Medicare),492506.0,36.0
1,1,K2980,1,1,8,157839,157839.0,8.0,Other Substance Related,Government (Medicare),157839.0,8.0
1,1,T43591A,1,1,6,83621,83621.0,6.0,Drug Overdose,Government (Medicare),83621.0,6.0
1,1,T465X1A,1,1,2,44059,44059.0,2.0,Drug Overdose,Government (Medicare),44059.0,2.0
1,11,F10139,2,2,7,43908,21954.0,3.5,Alcohol Disorders,,21954.0,3.5
1,2,F1123,1,1,7,39903,39903.0,7.0,Opioid Disorders,Government (Medicaid),39903.0,7.0
1,2,K2970,1,1,8,82882,82882.0,8.0,Other Substance Related,Government (Medicaid),82882.0,8.0
1,3,F10239,1,1,2,21002,21002.0,2.0,Alcohol Disorders,Private (Commercial),21002.0,2.0
1,3,T43212A,1,1,1,30816,30816.0,1.0,Drug Overdose,Private (Commercial),30816.0,1.0
1,7,F10139,4,4,16,126840,31710.0,4.0,Alcohol Disorders,,31710.0,4.0
1,7,F10232,1,1,4,32162,32162.0,4.0,Alcohol Disorders,,32162.0,4.0
1,7,F15129,1,1,1,19831,19831.0,1.0,Stimulant Disorders,,19831.0,1.0
1,7,K2950,1,1,17,156447,156447.0,17.0,Other Substance Related,,156447.0,17.0
1,7,K2980,1,1,8,61067,61067.0,8.0,Other Substance Related,,61067.0,8.0
1,7,T43621A,1,1,2,16672,16672.0,2.0,Drug Overdose,,16672.0,2.0
1,8,E249,2,2,8,94025,47012.5,4.0,Other Substance Related,,47012.5,4.0
1,8,F10139,4,4,17,152978,38244.5,4.25,Alcohol Disorders,,38244.5,4.25
1,8,K2971,2,2,6,89155,44577.5,3.0,Other Substance Related,,44577.5,3.0
1,8,T402X1A,1,1,7,58980,58980.0,7.0,Opioid Overdose,,58980.0,7.0
1,8,T50901A,1,1,2,19623,19623.0,2.0,Drug Overdose,,19623.0,2.0
2,1,K2920,1,1,1,14836,14836.0,1.0,Other Substance Related,Government (Medicare),14836.0,1.0
2,1,K2970,1,1,4,22823,22823.0,4.0,Other Substance Related,Government (Medicare),22823.0,4.0
2,1,T402X1A,1,1,3,25177,25177.0,3.0,Opioid Overdose,Government (Medicare),25177.0,3.0
2,1,T40601A,1,1,1,17999,17999.0,1.0,Opioid Overdose,Government (Medicare),17999.0,1.0
2,1,T50995A,1,1,2,29102,29102.0,2.0,Drug Overdose,Government (Medicare),29102.0,2.0
2,11,F10139,1,1,1,19633,19633.0,1.0,Alcohol Disorders,,19633.0,1.0
2,2,F10139,2,2,2,29494,14747.0,1.0,Alcohol Disorders,Government (Medicaid),14747.0,1.0
2,2,F10232,1,1,3,26846,26846.0,3.0,Alcohol Disorders,Government (Medicaid),26846.0,3.0
2,2,K2980,1,1,4,27710,27710.0,4.0,Other Substance Related,Government (Medicaid),27710.0,4.0
2,2,T402X1A,1,1,3,23132,23132.0,3.0,Opioid Overdose,Government (Medicaid),23132.0,3.0
2,2,T447X1A,1,1,1,14477,14477.0,1.0,Drug Overdose,Government (Medicaid),14477.0,1.0
2,4,F10131,1,1,3,28244,28244.0,3.0,Alcohol Disorders,Self-Pay,28244.0,3.0
2,4,F10132,1,1,1,13243,13243.0,1.0,Alcohol Disorders,Self-Pay,13243.0,1.0
2,4,F10139,1,1,1,12520,12520.0,1.0,Alcohol Disorders,Self-Pay,12520.0,1.0
2,4,F10229,1,1,2,21451,21451.0,2.0,Alcohol Disorders,Self-Pay,21451.0,2.0
2,4,F10239,3,3,11,83846,27948.67,3.67,Alcohol Disorders,Self-Pay,27948.666666666668,3.6666666666666665
2,4,F1123,1,1,1,10736,10736.0,1.0,Opioid Disorders,Self-Pay,10736.0,1.0
2,4,T402X1A,2,2,5,51291,25645.5,2.5,Opioid Overdose,Self-Pay,25645.5,2.5
2,4,T405X1A,2,2,4,60235,30117.5,2.0,Opioid Overdose,Self-Pay,30117.5,2.0
