HOSPITAL_ID,SUBSTANCE_CATEGORY,PATS,TC,TD,PAYOR1,AVG_CHARGE,AVG_LOS
1,Alcohol Disorders,13,531690,56,1,40899.230769230766,4.3076923076923075
1,Drug Overdose,5,194791,13,1,38958.2,2.6
1,Opioid Disorders,1,39903,7,2,39903.0,7.0
1,Opioid Overdose,1,58980,7,8,58980.0,7.0
1,Other Substance Related,10,1195259,92,1,119525.9,9.2
1,Stimulant Disorders,1,19831,1,7,19831.0,1.0
2,Alcohol Disorders,18,415447,43,11,23080.38888888889,2.388888888888889
2,Drug Overdose,8,202583,17,1,25322.875,2.125
2,Opioid Disorders,1,10736,1,4,10736.0,1.0
2,Opioid Overdose,9,233957,21,1,25995.222222222223,2.3333333333333335
2,Other Substance Related,5,109103,14,1,21820.6,2.8
3,Alcohol Disorders,221,3651877,788,1,16524.33031674208,3.565610859728507
3,Cannabis Disorders,2,98639,9,2,49319.5,4.5
3,Drug Overdose,21,761424,66,1,36258.28571428572,3.142857142857143
3,Opioid Disorders,65,708719,223,1,10903.36923076923,3.4307692307692306
3,Opioid Overdose,11,515662,45,2,46878.36363636364,4.090909090909091
3,Other Psychoactive Substances,6,170351,23,1,28391.833333333332,3.8333333333333335
3,Other Substance Related,5,380027,39,2,76005.4,7.8
3,Sedative Disorders,11,415250,57,2,37750.0,5.181818181818182
3,Stimulant Disorders,10,125971,25,2,12597.1,2.5
4,Alcohol Disorders,6,132118,13,11,22019.666666666668,2.1666666666666665
4,Drug Overdose,2,19955,3,1,9977.5,1.5
4,Other Substance Related,1,17314,3,1,17314.0,3.0
5,Alcohol Disorders,1,16118,2,8,16118.0,2.0
5,Other Substance Related,1,5020,2,1,5020.0,2.0
7,Alcohol Disorders,28,737477,97,1,26338.464285714286,3.4642857142857144
7,Drug Overdose,1,62201,8,1,62201.0,8.0
7,Opioid Disorders,1,3364,1,11,3364.0,1.0
7,Opioid Overdose,4,87543,9,2,21885.75,2.25
7,Other Psychoactive Substances,1,20081,3,8,20081.0,3.0
7,Other Substance Related,2,61101,4,11,30550.5,2.0
7,Stimulant Disorders,1,16343,2,3,16343.0,2.0
8,Other Substance Related,1,29569,4,7,29569.0,4.0
11,Alcohol Disorders,107,5560348,556,1,51965.86915887851,5.196261682242991
11,Cannabis Disorders,2,30192,3,1,15096.0,1.5
11,Drug Overdose,51,3350634,243,1,65698.70588235294,4.764705882352941
11,Hallucinogen Disorders,1,62665,2,7,62665.0,2.0
11,Inhalant Disorders,1,9926,1,7,9926.0,1.0
11,Opioid Disorders,3,126801,13,3,42267.0,4.333333333333333
11,Opioid Overdose,15,965018,65,1,64334.53333333333,4.333333333333333
11,Other Psychoactive Substances,5,123141,17,1,24628.2,3.4
11,Other Substance Related,11,875589,83,1,79599.0,7.545454545454546
11,Sedative Disorders,3,112964,17,11,37654.666666666664,5.666666666666667
11,Stimulant Disorders,13,398376,68,11,30644.30769230769,5.230769230769231
12,Alcohol Disorders,15,397188,31,11,26479.2,2.066666666666667
12,Drug Overdose,3,92979,7,1,30993.0,2.3333333333333335
12,Other Substance Related,2,57751,3,2,28875.5,1.5
14,Alcohol Disorders,1,14720,2,5,14720.0,2.0
14,Other Substance Related,1,5969,1,1,5969.0,1.0
15,Alcohol Disorders,12,203264,24,2,16938.666666666668,2.0
15,Drug Overdose,3,47722,5,1,15907.333333333334,1.6666666666666667
15,Opioid Overdose,3,39478,3,11,13159.333333333334,1.0
15,Other Substance Related,2,45924,4,2,22962.0,2.0
16,Alcohol Disorders,65,1632621,207,1,25117.246153846154,3.1846153846153844
16,Cannabis Disorders,3,41004,12,2,13668.0,4.0
16,Cocaine Disorders,1,21061,7,7,21061.0,7.0
16,Drug Overdose,18,686471,48,1,38137.27777777778,2.6666666666666665
16,Opioid Disorders,4,68692,7,1,17173.0,1.75
16,Opioid Overdose,10,751676,62,1,75167.6,6.2
16,Other Psychoactive Substances,7,149121,37,2,21303.0,5.285714285714286
16,Other Substance Related,14,540590,42,1,38613.57142857143,3.0
16,Sedative Disorders,2,33027,6,1,16513.5,3.0
16,Stimulant Disorders,44,544859,144,1,12383.15909090909,3.272727272727273
18,Alcohol Disorders,10,404958,63,1,40495.8,6.3
18,Drug Overdose,5,141445,12,1,28289.0,2.4
18,Stimulant Disorders,1,21167,1,3,21167.0,1.0
19,Alcohol Disorders,2,48055,9,1,24027.5,4.5
19,Other Substance Related,2,63952,7,11,31976.0,3.5
20,Alcohol Disorders,12,285456,39,11,23788.0,3.25
20,Drug Overdose,2,33364,5,1,16682.0,2.5
20,Other Substance Related,3,69822,4,1,23274.0,1.3333333333333333
20,Stimulant Disorders,1,51829,7,5,51829.0,7.0
21,Alcohol Disorders,251,7273302,957,1,28977.298804780876,3.812749003984064
21,Cannabis Disorders,1,500701,150,3,500701.0,150.0
21,Cocaine Disorders,3,132894,11,11,44298.0,3.6666666666666665
21,Drug Overdose,17,1051451,82,1,61850.05882352941,4.823529411764706
21,Opioid Overdose,13,507653,44,1,39050.230769230766,3.3846153846153846
21,Other Psychoactive Substances,16,256551,60,1,16034.4375,3.75
21,Other Substance Related,22,1372390,123,1,62381.36363636364,5.590909090909091
21,Sedative Disorders,3,53289,7,2,17763.0,2.3333333333333335
21,Stimulant Disorders,4,50441,12,3,12610.25,3.0
22,Alcohol Disorders,27,972871,116,1,36032.25925925926,4.296296296296297
22,Cannabis Disorders,1,26613,1,1,26613.0,1.0
22,Drug Overdose,22,787429,97,1,35792.22727272727,4.409090909090909
22,Opioid Overdose,7,375996,39,11,53713.71428571428,5.571428571428571
22,Other Psychoactive Substances,4,52584,9,2,13146.0,2.25
22,Other Substance Related,39,2262289,206,1,58007.41025641026,5.282051282051282
22,Stimulant Disorders,1,23585,3,11,23585.0,3.0
23,Alcohol Disorders,96,2651112,307,1,27615.75,3.1979166666666665
23,Cannabis Disorders,1,19312,2,4,19312.0,2.0
23,Cocaine Disorders,2,46829,12,2,23414.5,6.0
23,Drug Overdose,46,1526379,147,1,33182.15217391304,3.1956521739130435
23,Opioid Disorders,2,175243,4,2,87621.5,2.0
23,Opioid Overdose,16,794468,55,1,49654.25,3.4375
23,Other Psychoactive Substances,2,46507,9,5,23253.5,4.5
23,Other Substance Related,18,610940,70,1,33941.11111111111,3.888888888888889
23,Sedative Disorders,3,155185,16,1,51728.333333333336,5.333333333333333
23,Stimulant Disorders,3,45250,8,5,15083.333333333334,2.6666666666666665
24,Alcohol Disorders,2,80265,8,5,40132.5,4.0
24,Drug Overdose,1,5176,1,1,5176.0,1.0
25,Alcohol Disorders,118,4808310,455,1,40748.38983050847,3.8559322033898304
25,Cannabis Disorders,1,13285,4,1,13285.0,4.0
25,Drug Overdose,29,1115219,95,1,38455.8275862069,3.2758620689655173
25,Opioid Disorders,2,89689,9,3,44844.5,4.5
25,Opioid Overdose,9,604838,46,1,67204.22222222222,5.111111111111111
25,Other Substance Related,30,1398048,113,1,46601.6,3.7666666666666666
25,Sedative Disorders,3,94526,9,3,31508.666666666668,3.0
25,Stimulant Disorders,2,37577,4,3,18788.5,2.0
27,Alcohol Disorders,236,5217734,855,1,22109.042372881355,3.6228813559322033
27,Cannabis Disorders,8,156831,37,2,19603.875,4.625
27,Cocaine Disorders,5,100560,23,1,20112.0,4.6
27,Drug Overdose,106,4178312,519,1,39418.03773584906,4.89622641509434
27,Opioid Disorders,8,169798,27,1,21224.75,3.375
27,Opioid Overdose,34,1255436,130,1,36924.58823529412,3.823529411764706
27,Other Psychoactive Substances,11,210410,44,11,19128.18181818182,4.0
27,Other Substance Related,56,1604923,205,1,28659.339285714286,3.6607142857142856
27,Sedative Disorders,3,133160,30,11,44386.666666666664,10.0
27,Stimulant Disorders,67,1453729,325,1,21697.44776119403,4.850746268656716
28,Alcohol Disorders,98,2362097,340,1,24103.030612244896,3.4693877551020407
28,Cannabis Disorders,2,39805,16,5,19902.5,8.0
28,Drug Overdose,59,1733193,219,1,29376.15254237288,3.711864406779661
28,Opioid Disorders,2,74300,6,2,37150.0,3.0
28,Opioid Overdose,22,938725,75,1,42669.318181818184,3.409090909090909
28,Other Psychoactive Substances,7,134183,21,2,19169.0,3.0
28,Other Substance Related,27,812044,87,1,30075.703703703704,3.2222222222222223
28,Sedative Disorders,3,64284,16,2,21428.0,5.333333333333333
28,Stimulant Disorders,4,65602,12,5,16400.5,3.0
31,Alcohol Disorders,136,6784522,522,1,49886.19117647059,3.838235294117647
31,Cannabis Disorders,4,137347,12,2,34336.75,3.0
31,Cocaine Disorders,1,29406,3,7,29406.0,3.0
31,Drug Overdose,66,5604540,287,1,84917.27272727272,4.348484848484849
31,Opioid Disorders,6,328998,18,1,54833.0,3.0
31,Opioid Overdose,19,853924,60,1,44943.36842105263,3.1578947368421053
