HOSPITAL_ID,PAYOR1,PATS,TC,TD,PAYER_TYPE,SUBSTANCE_CATEGORY,AVG_CHARGE,AVG_LOS
1,1,6,994163,63,Government (Medicare),Other Substance Related; Alcohol Disorders; Drug Overdose,165693.83333333334,10.5
1,2,2,122785,15,Government (Medicaid),Opioid Disorders; Other Substance Related,61392.5,7.5
1,3,2,51818,3,Private (Commercial),Alcohol Disorders; Drug Overdose,25909.0,1.5
1,7,9,413019,48,,Alcohol Disorders; Stimulant Disorders; Other Substance Related; Drug Overdose,45891.0,5.333333333333333
1,8,10,414761,40,,Other Substance Related; Alcohol Disorders; Opioid Overdose; Drug Overdose,41476.1,4.0
1,11,2,43908,7,,Alcohol Disorders,21954.0,3.5
2,1,5,109937,11,Government (Medicare),Other Substance Related; Opioid Overdose; Drug Overdose,21987.4,2.2
2,2,6,121659,13,Government (Medicaid),Alcohol Disorders; Other Substance Related; Opioid Overdose; Drug Overdose,20276.5,2.1666666666666665
2,4,14,336463,34,Self-Pay,Alcohol Disorders; Opioid Disorders; Opioid Overdose; Drug Overdose,24033.071428571428,2.4285714285714284
2,7,4,95616,8,,Alcohol Disorders; Other Substance Related; Drug Overdose,23904.0,2.0
2,8,11,288518,29,,Alcohol Disorders; Other Substance Related; Opioid Overdose; Drug Overdose,26228.909090909092,2.6363636363636362
2,11,1,19633,1,,Alcohol Disorders,19633.0,1.0
3,1,29,696687,111,Government (Medicare),Alcohol Disorders; Opioid Disorders; Other Psychoactive Substances; Drug Overdose,24023.689655172413,3.8275862068965516
3,2,34,1320227,162,Government (Medicaid),Alcohol Disorders; Opioid Disorders; Cannabis Disorders; Sedative Disorders; Stimulant Disorders; Other Substance Related; Opioid Overdose; Drug Overdose,38830.205882352944,4.764705882352941
3,4,30,650026,131,Self-Pay,Alcohol Disorders; Opioid Disorders; Stimulant Disorders; Other Substance Related,21667.533333333333,4.366666666666666
3,5,139,2677836,540,,Alcohol Disorders; Opioid Disorders; Sedative Disorders; Stimulant Disorders; Other Psychoactive Substances; Opioid Overdose; Drug Overdose,19265.007194244605,3.884892086330935
3,6,34,521972,66,,Alcohol Disorders; Opioid Disorders; Sedative Disorders; Stimulant Disorders; Opioid Overdose; Drug Overdose,15352.117647058823,1.9411764705882353
3,7,33,437828,112,,Alcohol Disorders; Opioid Disorders; Drug Overdose,13267.515151515152,3.393939393939394
