EVENT_YR,EVENT_COUNTY,EVENT_COUNTY_POP,PATIENT_AGE_GROUP,NONPHYS_MENTAL_HEALTH_FLG_CNT,SUICIDAL_AND_SELF_HARM_FLG_CNT,HOMICIDAL_AND_HARM_TO_OTHERS_FLG_FLG_CNT,ETL_RUN_TIMESTAMP
2024,WARRICK,65867,18 to 60,4723,623,1873,7/24/2025 9:17
2021,PUTNAM,37043,18 to 60,1197,218,468,7/24/2025 9:17
2017,DAVIESS,33127,18 to 60,460,96,118,7/24/2025 9:17
2020,ST JOSEPH,272682,60+,10998,344,3456,7/24/2025 9:17
2021,LAGRANGE,40527,60+,462,18,213,7/24/2025 9:17
2021,ST JOSEPH,272286,60+,9973,277,2892,7/24/2025 9:17
2022,GRANT,65993,60+,3601,165,1257,7/24/2025 9:17
2024,JOHNSON,167819,18 to 60,3664,666,1715,7/24/2025 9:17
2021,ST JOSEPH,272286,< 18,963,261,665,7/24/2025 9:17
2020,ST JOSEPH,272682,< 18,895,271,640,7/24/2025 9:17
2019,WABASH,31028,60+,971,38,385,7/24/2025 9:17
2018,DAVIESS,33314,18 to 60,621,121,231,7/24/2025 9:17
2019,LAGRANGE,39771,< 18,94,24,69,7/24/2025 9:17
2020,GRANT,66507,60+,1840,96,728,7/24/2025 9:17
2022,GRANT,65993,< 18,893,233,812,7/24/2025 9:17
2017,WABASH,31401,< 18,10,,32,7/24/2025 9:17
2020,DUBOIS,43642,18 to 60,508,119,175,7/24/2025 9:17
2017,WABASH,31401,60+,415,,191,7/24/2025 9:17
2021,LAGRANGE,40527,< 18,93,42,64,7/24/2025 9:17
2017,LAGRANGE,39247,60+,234,,147,7/24/2025 9:17
2017,LAGRANGE,39247,< 18,35,,43,7/24/2025 9:17
2023,LAWRENCE,45084,18 to 60,1210,162,490,7/24/2025 9:17
2019,PUTNAM,37566,18 to 60,731,147,367,7/24/2025 9:17
2018,RANDOLPH,24736,60+,438,14,140,7/24/2025 9:17
2020,GRANT,66507,< 18,161,31,188,7/24/2025 9:17
2019,WABASH,31028,< 18,106,38,109,7/24/2025 9:17
2019,FOUNTAIN,16425,< 18,16,,17,7/24/2025 9:17
2019,LAGRANGE,39771,60+,404,13,234,7/24/2025 9:17
2018,RANDOLPH,24736,< 18,42,,77,7/24/2025 9:17
2019,FOUNTAIN,16425,60+,403,16,215,7/24/2025 9:17
2020,CRAWFORD,10524,60+,53,,19,7/24/2025 9:17
2021,STARKE,23373,< 18,,,,7/24/2025 9:17
2021,STARKE,23373,60+,136,,45,7/24/2025 9:17
2020,CRAWFORD,10524,< 18,,,,7/24/2025 9:17
2024,HENDRICKS,186387,< 18,1454,288,1649,7/24/2025 9:17
2023,HENRY,48929,60+,1750,59,575,7/24/2025 9:17
2017,MARION,951247,60+,18403,1087,4637,7/24/2025 9:17
2020,MARION,976659,60+,32374,1722,9990,7/24/2025 9:17
2018,GRANT,66112,18 to 60,4064,602,1494,7/24/2025 9:17
2017,MARION,951247,< 18,1492,511,2135,7/24/2025 9:17
