"fips","year","state","st","fips_state","county","population","estimated_age_adjusted_death_rate_11_categories_in_ranges"
"18001","2014","Indiana","IN","18","Adams County, IN","34756","10.1-12"
"18107","2005","Indiana","IN","18","Montgomery County, IN","38105","8.1-10"
"18135","2011","Indiana","IN","18","Randolph County, IN","26017","10.1-12"
"18025","2004","Indiana","IN","18","Crawford County, IN","11029","6.1-8"
"18027","2012","Indiana","IN","18","Daviess County, IN","32150","10.1-12"
"18009","2006","Indiana","IN","18","Blackford County, IN","13161","12.1-14"
"18151","2014","Indiana","IN","18","Steuben County, IN","34406","8.1-10"
"18039","2015","Indiana","IN","18","Elkhart County, IN","203474","8.1-10"
"18183","2010","Indiana","IN","18","Whitley County, IN","33348","6.1-8"
"18099","2006","Indiana","IN","18","Marshall County, IN","46851","4.1-6"
"18141","2013","Indiana","IN","18","St. Joseph County, IN","266885","10.1-12"
"18179","2011","Indiana","IN","18","Wells County, IN","27751","10.1-12"
"18117","2005","Indiana","IN","18","Orange County, IN","19744","4.1-6"
"18015","2015","Indiana","IN","18","Carroll County, IN","19856","12.1-14"
"18099","2012","Indiana","IN","18","Marshall County, IN","46992","8.1-10"
"18013","2009","Indiana","IN","18","Brown County, IN","15261","12.1-14"
"18101","2011","Indiana","IN","18","Martin County, IN","10332","8.1-10"
"18121","2011","Indiana","IN","18","Parke County, IN","17110","10.1-12"
"18155","2006","Indiana","IN","18","Switzerland County, IN","10151","8.1-10"
"18035","2013","Indiana","IN","18","Delaware County, IN","117435","18.1-20"
"18131","2012","Indiana","IN","18","Pulaski County, IN","13063","16.1-18"
"18021","2012","Indiana","IN","18","Clay County, IN","26827","12.1-14"
"18125","2010","Indiana","IN","18","Pike County, IN","12850","6.1-8"
"18099","2013","Indiana","IN","18","Marshall County, IN","46986","8.1-10"
"18163","2014","Indiana","IN","18","Vanderburgh County, IN","181918","22.1-24"
"18037","2012","Indiana","IN","18","Dubois County, IN","42098","6.1-8"
"18135","2013","Indiana","IN","18","Randolph County, IN","25600","12.1-14"
"18039","2013","Indiana","IN","18","Elkhart County, IN","200476","8.1-10"
"18123","2015","Indiana","IN","18","Perry County, IN","19347","12.1-14"
"18043","2012","Indiana","IN","18","Floyd County, IN","75355","12.1-14"
"18151","2013","Indiana","IN","18","Steuben County, IN","34328","6.1-8"
