"state","year","month","period","indicator","data_value","percent_complete","percent_pending_investigation","state_name","footnote","footnote_symbol","predicted_value"
"IN","2015","January","12 month-ending","Cocaine (T40.5)",,"100","0.033776177","Indiana","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"IN","2015","February","12 month-ending","Cocaine (T40.5)",,"100","0.033666255","Indiana","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"IN","2015","March","12 month-ending","Cocaine (T40.5)",,"100","0.030213402","Indiana","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"IN","2015","April","12 month-ending","Cocaine (T40.5)",,"100","0.029990214","Indiana","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"IN","2015","May","12 month-ending","Cocaine (T40.5)",,"100","0.031500528","Indiana","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"IN","2015","June","12 month-ending","Cocaine (T40.5)",,"100","0.033062015","Indiana","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"IN","2015","July","12 month-ending","Cocaine (T40.5)",,"100","0.03303445","Indiana","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"IN","2015","August","12 month-ending","Cocaine (T40.5)",,"100","0.028260119","Indiana","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"IN","2015","September","12 month-ending","Cocaine (T40.5)",,"100","0.025063834","Indiana","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"IN","2015","October","12 month-ending","Cocaine (T40.5)",,"100","0.02350029","Indiana","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"IN","2015","November","12 month-ending","Cocaine (T40.5)",,"100","0.025135496","Indiana","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"IN","2015","December","12 month-ending","Cocaine (T40.5)",,"100","0.01738993","Indiana","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"IN","2016","January","12 month-ending","Cocaine (T40.5)",,"100","0.017569078","Indiana","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"IN","2016","February","12 month-ending","Cocaine (T40.5)",,"100","0.015907609","Indiana","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"IN","2016","March","12 month-ending","Cocaine (T40.5)",,"100","0.015881082","Indiana","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"IN","2016","April","12 month-ending","Cocaine (T40.5)",,"100","0.0143287","Indiana","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"IN","2016","May","12 month-ending","Cocaine (T40.5)",,"100","0.012773023","Indiana","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"IN","2016","June","12 month-ending","Cocaine (T40.5)",,"100","0.009577321","Indiana","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"IN","2016","July","12 month-ending","Cocaine (T40.5)",,"100","0.009554901","Indiana","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"IN","2016","August","12 month-ending","Cocaine (T40.5)",,"100","0.009533949","Indiana","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"IN","2016","September","12 month-ending","Cocaine (T40.5)",,"100","0.009540316","Indiana","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"IN","2016","October","12 month-ending","Cocaine (T40.5)",,"100","0.004747962","Indiana","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"IN","2016","November","12 month-ending","Cocaine (T40.5)",,"100","0.004718465","Indiana","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"IN","2016","December","12 month-ending","Cocaine (T40.5)",,"100","0.006245023","Indiana","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"IN","2017","January","12 month-ending","Cocaine (T40.5)",,"100","0.006200974","Indiana","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"IN","2017","February","12 month-ending","Cocaine (T40.5)",,"100","0.007718074","Indiana","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"IN","2017","March","12 month-ending","Cocaine (T40.5)",,"100","0.00768238","Indiana","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"IN","2017","April","12 month-ending","Cocaine (T40.5)",,"100","0.010716309","Indiana","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"IN","2017","May","12 month-ending","Cocaine (T40.5)",,"100","0.016779035","Indiana","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
