"GEOGRAPHY_FIPS","GEOGRAPHY_NAME","YEAR","TOUCHPOINT_TYPE","MEASURE_NAME","MEASURE_VALUE","ETL_RUN_TIMESTAMP"
"001",Adams,"2015",ED visit,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"001",Adams,"2015",EMS interaction,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"001",Adams,"2015",Rx dispensation,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"001",Adams,"2016",Jail booking,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"001",Adams,"2017",EMS interaction,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"001",Adams,"2018",Jail booking,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"001",Adams,"2018",Rx dispensation,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"001",Adams,"2019",EMS interaction,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"001",Adams,"2019",Release from prison,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"001",Adams,"2021",Jail booking,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"001",Adams,"2021",Rx dispensation,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"001",Adams,"2022",Rx dispensation,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"001",Adams,"2023",Rx dispensation,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"001",Adams,All Years,Release from prison,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"001",Adams,All Years,Release from prison,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"001",Adams,Last Two Years,ED visit,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"001",Adams,Last Two Years,Jail booking,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"005",Bartholomew,"2015",Release from prison,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"005",Bartholomew,"2023",Release from prison,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"005",Bartholomew,Last Two Years,Release from prison,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"007",Benton,"2015",EMS interaction,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"007",Benton,"2015",Jail booking,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"007",Benton,"2015",Rx dispensation,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"007",Benton,"2020",ED visit,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"007",Benton,"2020",Rx dispensation,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"007",Benton,"2022",Release from prison,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"007",Benton,All Years,ED visit,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"007",Benton,All Years,EMS interaction,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"007",Benton,All Years,Jail booking,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"007",Benton,All Years,Release from prison,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"007",Benton,All Years,Release from prison,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"009",Blackford,"2015",EMS interaction,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"009",Blackford,"2017",Jail booking,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"009",Blackford,"2017",Release from prison,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"009",Blackford,"2018",ED visit,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"009",Blackford,"2018",EMS interaction,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"009",Blackford,"2018",Rx dispensation,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"009",Blackford,"2019",ED visit,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"009",Blackford,"2021",EMS interaction,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"009",Blackford,"2021",Rx dispensation,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"009",Blackford,"2022",ED visit,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"009",Blackford,"2022",EMS interaction,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"009",Blackford,"2022",Jail booking,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"009",Blackford,"2022",Rx dispensation,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"009",Blackford,"2023",ED visit,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"009",Blackford,"2023",Jail booking,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"009",Blackford,"2023",Rx dispensation,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"009",Blackford,All Years,Release from prison,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"009",Blackford,All Years,Release from prison,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"009",Blackford,Last Two Years,ED visit,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"009",Blackford,Last Two Years,EMS interaction,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"009",Blackford,Last Two Years,Rx dispensation,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"013",Brown,"2015",Jail booking,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"013",Brown,"2016",Jail booking,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"013",Brown,"2017",ED visit,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"013",Brown,"2017",EMS interaction,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"013",Brown,"2017",Jail booking,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"013",Brown,"2017",Rx dispensation,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"013",Brown,"2018",Rx dispensation,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"013",Brown,"2020",EMS interaction,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"013",Brown,"2021",Release from prison,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"013",Brown,"2022",ED visit,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"013",Brown,"2022",EMS interaction,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"013",Brown,All Years,Release from prison,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"013",Brown,All Years,Release from prison,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"013",Brown,Last Two Years,Rx dispensation,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"015",Carroll,"2016",ED visit,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"015",Carroll,"2016",EMS interaction,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"015",Carroll,"2016",Jail booking,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"015",Carroll,"2017",ED visit,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"015",Carroll,"2018",EMS interaction,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"015",Carroll,"2019",EMS interaction,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"015",Carroll,"2019",Jail booking,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"015",Carroll,"2020",Jail booking,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"015",Carroll,"2020",Rx dispensation,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"015",Carroll,"2021",EMS interaction,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"015",Carroll,"2021",Jail booking,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"015",Carroll,"2022",ED visit,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"015",Carroll,"2022",Jail booking,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"015",Carroll,"2022",Rx dispensation,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"015",Carroll,"2023",Jail booking,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"015",Carroll,Last Two Years,ED visit,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"015",Carroll,Last Two Years,Rx dispensation,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"017",Cass,"2016",EMS interaction,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"017",Cass,"2017",ED visit,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"017",Cass,"2017",EMS interaction,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"017",Cass,"2017",Release from prison,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"017",Cass,"2018",Jail booking,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"017",Cass,"2019",EMS interaction,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"017",Cass,"2021",EMS interaction,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"017",Cass,"2023",ED visit,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"017",Cass,"2023",EMS interaction,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"017",Cass,All Years,Release from prison,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"017",Cass,All Years,Release from prison,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"021",Clay,"2021",ED visit,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"021",Clay,"2022",ED visit,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"023",Clinton,"2015",Jail booking,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"023",Clinton,"2016",Jail booking,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"023",Clinton,"2016",Release from prison,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"023",Clinton,"2017",Jail booking,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"023",Clinton,"2018",Release from prison,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"023",Clinton,"2019",Jail booking,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"023",Clinton,"2020",Jail booking,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"023",Clinton,"2020",Release from prison,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"023",Clinton,"2023",Jail booking,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"023",Clinton,"2023",Release from prison,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"023",Clinton,"2023",Rx dispensation,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"023",Clinton,Last Two Years,Jail booking,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"023",Clinton,Last Two Years,Release from prison,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"023",Clinton,Last Two Years,Rx dispensation,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"025",Crawford,"2016",ED visit,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"025",Crawford,"2016",Rx dispensation,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"025",Crawford,"2017",ED visit,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"025",Crawford,"2017",EMS interaction,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"025",Crawford,"2018",ED visit,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"025",Crawford,"2018",EMS interaction,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"025",Crawford,"2018",Jail booking,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"025",Crawford,"2020",EMS interaction,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"025",Crawford,"2020",Release from prison,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"025",Crawford,"2021",ED visit,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"025",Crawford,"2022",Release from prison,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"027",Daviess,"2016",EMS interaction,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"027",Daviess,"2017",EMS interaction,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"027",Daviess,"2017",Jail booking,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"027",Daviess,"2018",Rx dispensation,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"027",Daviess,"2019",ED visit,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"027",Daviess,"2019",EMS interaction,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
"027",Daviess,"2020",ED visit,Decedent Touchpoint Individual Count,1.0,2025-10-01 08:52:02.044
