OVERDOSE_YEAR,CATEGORY,CATEGORY_VALUE,OPIOID_SCRIPT_FLG,CATEGORY_VALUE_RATIO,FATAL_OD_RATE_PER_100K,NO_SCRIPT_PERCENTAGE,SCRIPT_PERCENTAGE
2018,Age Group,20-29 Years,1,23,22,20.2,79.8
2019,Age Group,20-29 Years,1,25,25,19.6,80.4
2020,Age Group,20-29 Years,1,38,36,19,81
2021,Age Group,20-29 Years,1,39,41,19.3,80.7
2022,Age Group,20-29 Years,1,33,40,20.4,79.6
2023,Age Group,20-29 Years,1,25,33,19,81
2024,Age Group,20-29 Years,1,17,25,17.9,82.1
2018,Age Group,50-59 Years,1,23,22,20.2,79.8
2019,Age Group,50-59 Years,1,30,25,19.6,80.4
2020,Age Group,50-59 Years,1,37,36,19,81
2021,Age Group,50-59 Years,1,45,41,19.3,80.7
2022,Age Group,50-59 Years,1,45,40,20.4,79.6
2023,Age Group,50-59 Years,1,38,33,19,81
2024,Age Group,50-59 Years,1,30,25,17.9,82.1
2018,Age Group,60-69 Years,1,18,22,20.2,79.8
2019,Age Group,60-69 Years,1,17,25,19.6,80.4
2020,Age Group,60-69 Years,1,23,36,19,81
2021,Age Group,60-69 Years,1,30,41,19.3,80.7
2022,Age Group,60-69 Years,1,30,40,20.4,79.6
2023,Age Group,60-69 Years,1,25,33,19,81
2024,Age Group,60-69 Years,1,24,25,17.9,82.1
2018,Age Group,30-39 Years,1,38,22,20.2,79.8
2019,Age Group,30-39 Years,1,41,25,19.6,80.4
2020,Age Group,30-39 Years,1,65,36,19,81
2021,Age Group,30-39 Years,1,70,41,19.3,80.7
2022,Age Group,30-39 Years,1,62,40,20.4,79.6
2023,Age Group,30-39 Years,1,49,33,19,81
2024,Age Group,30-39 Years,1,38,25,17.9,82.1
2018,Age Group,40-49 Years,1,27,22,20.2,79.8
2019,Age Group,40-49 Years,1,34,25,19.6,80.4
2020,Age Group,40-49 Years,1,47,36,19,81
2021,Age Group,40-49 Years,1,56,41,19.3,80.7
2022,Age Group,40-49 Years,1,56,40,20.4,79.6
2023,Age Group,40-49 Years,1,49,33,19,81
2024,Age Group,40-49 Years,1,38,25,17.9,82.1
2018,Age Group,70-79 Years,1,9,22,20.2,79.8
2019,Age Group,70-79 Years,1,13,25,19.6,80.4
2020,Age Group,70-79 Years,1,18,36,19,81
2021,Age Group,70-79 Years,1,18,41,19.3,80.7
2022,Age Group,70-79 Years,1,21,40,20.4,79.6
2023,Age Group,70-79 Years,1,22,33,19,81
2024,Age Group,70-79 Years,1,17,25,17.9,82.1
2018,Age Group,>=80 Years,1,17,22,20.2,79.8
2019,Age Group,>=80 Years,1,21,25,19.6,80.4
2020,Age Group,>=80 Years,1,25,36,19,81
2021,Age Group,>=80 Years,1,32,41,19.3,80.7
2022,Age Group,>=80 Years,1,33,40,20.4,79.6
2023,Age Group,>=80 Years,1,37,33,19,81
2024,Age Group,>=80 Years,1,31,25,17.9,82.1
2018,Age Group,0-19 Years,1,1,22,20.2,79.8
2019,Age Group,0-19 Years,1,1,25,19.6,80.4
2020,Age Group,0-19 Years,1,1,36,19,81
2021,Age Group,0-19 Years,1,1,41,19.3,80.7
2022,Age Group,0-19 Years,1,2,40,20.4,79.6
2023,Age Group,0-19 Years,1,2,33,19,81
2024,Age Group,0-19 Years,1,1,25,17.9,82.1
2018,Age Group,30-39 Years,0,8,22,20.2,79.8
2019,Age Group,30-39 Years,0,9,25,19.6,80.4
2020,Age Group,30-39 Years,0,13,36,19,81
2021,Age Group,30-39 Years,0,14,41,19.3,80.7
2022,Age Group,30-39 Years,0,14,40,20.4,79.6
2023,Age Group,30-39 Years,0,12,33,19,81
2024,Age Group,30-39 Years,0,7,25,17.9,82.1
2018,Age Group,40-49 Years,0,7,22,20.2,79.8
2019,Age Group,40-49 Years,0,8,25,19.6,80.4
2020,Age Group,40-49 Years,0,9,36,19,81
2021,Age Group,40-49 Years,0,11,41,19.3,80.7
2022,Age Group,40-49 Years,0,13,40,20.4,79.6
2023,Age Group,40-49 Years,0,10,33,19,81
2024,Age Group,40-49 Years,0,6,25,17.9,82.1
2018,Age Group,50-59 Years,0,6,22,20.2,79.8
2019,Age Group,50-59 Years,0,5,25,19.6,80.4
2020,Age Group,50-59 Years,0,8,36,19,81
2021,Age Group,50-59 Years,0,10,41,19.3,80.7
2022,Age Group,50-59 Years,0,10,40,20.4,79.6
2023,Age Group,50-59 Years,0,8,33,19,81
2024,Age Group,50-59 Years,0,5,25,17.9,82.1
2018,Age Group,60-69 Years,0,4,22,20.2,79.8
2019,Age Group,60-69 Years,0,4,25,19.6,80.4
2020,Age Group,60-69 Years,0,5,36,19,81
2021,Age Group,60-69 Years,0,6,41,19.3,80.7
2022,Age Group,60-69 Years,0,6,40,20.4,79.6
2023,Age Group,60-69 Years,0,5,33,19,81
2024,Age Group,60-69 Years,0,5,25,17.9,82.1
2018,Age Group,20-29 Years,0,6,22,20.2,79.8
