PRESCRIBER_SPECIALTY,FILLED_YEAR,TOTAL_FILLED,TOTAL_REFILLED,AVG_DAYS_SUPPLIED,MIN_DAYS_SUPPLIED,MAX_DAYS_SUPPLIED,MEDIAN_DAYS_SUPPLIED,0-5 DAYS SUPPLIED,6-10 DAYS SUPPLIED,11-20 DAYS SUPPLIED,21-30 DAYS SUPPLIED,31-60 DAYS SUPPLIED,61-90 DAYS SUPPLIED,91+ DAYS SUPPLIED
Unknown,2005,1357524,730109,14.604223,0,999,,507662,259239,190173,373823,15318,9453,1850
Unknown,2006,1983390,884767,14.309293,0,999,,761342,371291,266592,553060,17382,11695,2019
Unknown,2007,2085736,1050387,14.794039,0,999,,766066,384826,281139,620758,17698,13474,1765
Unknown,2008,2231103,1132871,14.850404,0,999,,801240,408614,301063,688145,17916,13157,959
Unknown,2009,2198509,1093808,15.332133,0,999,,763698,387014,285034,732828,17033,11943,950
Unknown,2010,2106351,1104700,16.057063,0,999,,690829,356646,269385,759589,15364,13715,818
Unknown,2011,1943366,1436299,16.391769,0,999,,629447,302323,235107,753099,11713,11314,357
Unknown,2012,1897736,1338709,16.692477,0,999,,602094,288324,219167,766054,11143,10699,250
Unknown,2013,1659384,895835,16.89353,0,999,,512492,253022,191571,683612,9023,9444,214
Unknown,2014,1422526,552229,17.255189,0,999,,430971,211349,151781,613236,7104,7916,163
Unknown,2015,1225814,264449,17.814579,0,999,,343926,185417,132179,552112,5611,6416,152
Unknown,2016,934382,234533,17.27361,0,1095,,273287,152905,105912,390870,4614,6711,83
Unknown,2017,705019,171920,16.952882,0,1095,,214473,135167,72992,266432,4925,10967,63
Unknown,2018,530434,162152,17.122788,0,360,,155232,110337,49281,202302,3429,9827,25
Unknown,2019,459252,196357,15.804656,0,240,,127789,108180,43582,177441,1134,1105,20
Unknown,2020,371275,124137,15.101466,1,365,,102036,96397,39797,131410,875,746,14
Unknown,2021,338827,133335,14.911521,0,180,,92513,91694,35550,117512,828,713,17
Unknown,2022,315845,144036,14.630578,1,473,,92146,83886,30802,107450,806,729,26
Unknown,2023,284028,87962,14.222196,1,300,,99274,63367,25560,94386,840,555,46
Acupuncturist,2017,3,0,35,30,45,30,0,0,0,2,1,0,0
Acupuncturist,2018,13,0,20.692307,5,30,30,1,3,2,7,0,0,0
Acupuncturist,2019,21,0,22.666666,2,90,20,2,6,3,8,1,1,0
Acupuncturist,2020,14,0,16.5,3,72,7,3,6,2,1,1,1,0
Advanced Practice Midwife,2005,92,36,3.532608,1,6,3,89,3,0,0,0,0,0
Advanced Practice Midwife,2006,286,13,3.55944,1,15,3,255,26,5,0,0,0,0
Advanced Practice Midwife,2007,426,8,3.899061,1,30,3,376,41,7,2,0,0,0
Advanced Practice Midwife,2008,563,50,4.37833,1,30,4,507,39,5,12,0,0,0
Advanced Practice Midwife,2009,444,24,4.22072,1,30,4,391,45,6,2,0,0,0
Advanced Practice Midwife,2010,397,37,4.261964,1,30,4,334,56,5,2,0,0,0
Advanced Practice Midwife,2011,459,102,4.625272,1,30,4,383,56,14,6,0,0,0
Advanced Practice Midwife,2012,510,72,5.284313,1,30,4,373,105,27,5,0,0,0
Advanced Practice Midwife,2013,593,62,4.983136,1,30,4,468,106,11,8,0,0,0
Advanced Practice Midwife,2014,831,64,5.085439,1,30,4,604,195,19,13,0,0,0
Advanced Practice Midwife,2015,944,3,4.828389,1,34,4,687,219,29,7,2,0,0
Advanced Practice Midwife,2016,815,68,4.531288,1,30,4,658,132,20,5,0,0,0
Advanced Practice Midwife,2017,721,71,4.95423,1,30,4,548,152,3,18,0,0,0
Advanced Practice Midwife,2018,662,3,4.373111,1,30,4,512,144,1,5,0,0,0
Advanced Practice Midwife,2019,618,57,4.425566,1,30,4,515,89,8,6,0,0,0
Advanced Practice Midwife,2020,535,7,4.095327,1,30,3,471,51,6,7,0,0,0
Advanced Practice Midwife,2021,510,2,3.698039,1,30,3,463,41,5,1,0,0,0
Advanced Practice Midwife,2022,756,11,4.383597,1,30,3,664,52,27,13,0,0,0
Advanced Practice Midwife,2023,921,1,4.178067,1,30,3,815,52,42,12,0,0,0
Allergy & Immunology,2005,1689,1326,14.106571,1,300,10,413,506,319,422,20,7,2
Allergy & Immunology,2006,2493,1494,13.318892,1,125,10,553,859,471,585,20,3,2
Allergy & Immunology,2007,3914,1901,13.645886,1,667,10,943,1070,1026,831,18,19,7
Allergy & Immunology,2008,5530,2449,11.492224,1,90,9,1724,1611,1265,879,24,27,0
Allergy & Immunology,2009,4674,3709,12.3267,1,90,9.5,1475,1348,853,968,17,13,0
Allergy & Immunology,2010,4519,4163,13.504757,0,160,10,1339,1102,917,1121,23,16,1
Allergy & Immunology,2011,4029,4940,15.067262,1,480,12,1057,881,779,1275,18,17,2
Allergy & Immunology,2012,3979,4507,15.982156,0,96,12,1147,671,682,1406,36,28,9
Allergy & Immunology,2013,4181,4228,16.49414,1,90,15,1150,674,725,1569,37,26,0
Allergy & Immunology,2014,4760,3578,18.461554,1,90,18.5,1100,634,751,2214,39,22,0
Allergy & Immunology,2015,2949,1082,17.880637,1,118,15,715,392,494,1305,35,7,1
Allergy & Immunology,2016,1504,551,15.125664,1,90,12,426,232,343,456,44,3,0
Allergy & Immunology,2017,1126,372,13.272646,1,90,10,357,238,242,267,18,4,0
Allergy & Immunology,2018,1247,506,12.313552,1,90,8,384,356,225,268,8,6,0
Allergy & Immunology,2019,1242,526,12.243961,1,90,7,362,366,225,278,8,3,0
Allergy & Immunology,2020,988,453,13.874493,1,90,9,212,309,178,281,4,4,0
Allergy & Immunology,2021,828,262,14.402173,1,90,8,164,278,114,265,6,1,0
Allergy & Immunology,2022,1080,310,12.356481,1,90,7,287,389,155,241,7,1,0
Allergy & Immunology,2023,1192,525,13.43708,1,48,7,309,391,126,363,3,0,0
Anesthesiologist Assistant,2018,8,14,29.75,28,30,30,0,0,0,8,0,0,0
Anesthesiologist Assistant,2019,5,9,10.2,2,30,2,3,0,1,1,0,0,0
Anesthesiologist Assistant,2020,3,0,3.333333,2,5,3,3,0,0,0,0,0,0
Anesthesiology,2005,35995,5392,24.714071,0,999,30,2346,3276,4624,25233,261,239,16
Anesthesiology,2006,55351,7050,24.828476,0,999,30,3710,4944,6128,39987,319,245,18
Anesthesiology,2007,72416,10189,25.235417,0,667,30,4403,6356,7469,53321,438,398,31
Anesthesiology,2008,94887,10937,26.082624,0,330,30,4500,6539,8285,74610,438,492,23
Anesthesiology,2009,105810,10174,25.855089,0,705,30,4773,8357,9263,82460,499,429,29
Anesthesiology,2010,110624,13355,25.942119,0,300,30,4985,7988,10235,86303,566,532,15
Anesthesiology,2011,119752,29959,25.839443,0,270,30,5867,8224,11544,92835,691,577,14
Anesthesiology,2012,152149,35035,25.548968,0,300,30,7221,9718,17236,116643,729,591,11
Anesthesiology,2013,168303,33474,25.913079,0,999,30,5993,9509,19662,132008,494,622,15
Anesthesiology,2014,196116,24967,25.973189,0,365,30,6680,9656,23366,155220,567,611,16
Anesthesiology,2015,207515,10233,26.476813,1,300,30,6707,9734,17816,172035,621,580,20
Anesthesiology,2016,220205,11773,26.421534,1,999,30,7134,11093,19469,181307,621,565,16
Anesthesiology,2017,243017,14022,26.332824,1,180,30,7785,15907,18304,199738,635,633,15
Anesthesiology,2018,231512,15426,26.000859,0,240,30,7435,20154,15080,187911,460,460,12
Anesthesiology,2019,219767,16766,25.98285,1,330,30,6485,20583,13079,179022,352,238,7
Anesthesiology,2020,189050,13113,26.494054,1,283,30,4322,16136,10132,157998,274,180,8
Anesthesiology,2021,177627,15167,26.67573,1,180,30,3712,14812,8891,149784,258,161,9
Anesthesiology,2022,180226,15147,26.748898,1,144,30,3524,13992,9839,152496,214,155,6
Anesthesiology,2023,179015,15342,26.684691,1,300,30,3490,14238,9763,151165,246,99,14
Clinical Nurse Specialist,2005,4479,2393,17.971198,1,999,15,692,1103,952,1652,39,36,5
