EVENT_EMS_DISTRICT,EVENT_EMS_DISTRICT_POP,EVENT_YR,PATIENT_GENDER,PATIENT_RACE,PATIENT_AGE_GROUP,EVENT_FLAG_TYPE,DISTRICT_EVENT_FLAG_TYPE_CNT,ETL_RUN_TIMESTAMP
3,736313,2017,Female,Black or African American,85+,Harm-to-Others Violence Events,0,7/24/2025 9:12
9,460966,2017,Female,Black or African American,85+,Harm-to-Others Violence Events,0,7/24/2025 9:12
3,736313,2017,Female,Hispanic or Latino or Spanish Origin,0 to 17,Harm-to-Others Violence Events,0,7/24/2025 9:12
8,381050,2017,Female,Hispanic or Latino or Spanish Origin,0 to 17,Harm-to-Others Violence Events,0,7/24/2025 9:12
6,627835,2017,Female,Hispanic or Latino or Spanish Origin,0 to 17,Harm-to-Others Violence Events,0,7/24/2025 9:12
7,277305,2017,Female,Hispanic or Latino or Spanish Origin,0 to 17,Harm-to-Others Violence Events,0,7/24/2025 9:12
10,487947,2017,Female,Hispanic or Latino or Spanish Origin,25 to 34,Harm-to-Others Violence Events,0,7/24/2025 9:12
8,381050,2017,Female,Hispanic or Latino or Spanish Origin,35 to 44,Harm-to-Others Violence Events,0,7/24/2025 9:12
9,460966,2017,Female,Hispanic or Latino or Spanish Origin,35 to 44,Harm-to-Others Violence Events,0,7/24/2025 9:12
7,277305,2017,Female,Hispanic or Latino or Spanish Origin,35 to 44,Harm-to-Others Violence Events,0,7/24/2025 9:12
10,487947,2017,Female,Hispanic or Latino or Spanish Origin,35 to 44,Harm-to-Others Violence Events,0,7/24/2025 9:12
8,381050,2017,Female,Hispanic or Latino or Spanish Origin,45 to 54,Harm-to-Others Violence Events,0,7/24/2025 9:12
7,277305,2017,Female,Hispanic or Latino or Spanish Origin,45 to 54,Harm-to-Others Violence Events,0,7/24/2025 9:12
10,487947,2017,Female,Hispanic or Latino or Spanish Origin,45 to 54,Harm-to-Others Violence Events,0,7/24/2025 9:12
3,736313,2017,Female,Hispanic or Latino or Spanish Origin,55 to 64,Harm-to-Others Violence Events,0,7/24/2025 9:12
8,381050,2017,Female,Hispanic or Latino or Spanish Origin,55 to 64,Harm-to-Others Violence Events,0,7/24/2025 9:12
7,277305,2017,Female,Hispanic or Latino or Spanish Origin,55 to 64,Harm-to-Others Violence Events,0,7/24/2025 9:12
10,487947,2017,Female,Hispanic or Latino or Spanish Origin,55 to 64,Harm-to-Others Violence Events,0,7/24/2025 9:12
2,655550,2017,Female,Hispanic or Latino or Spanish Origin,55 to 64,Harm-to-Others Violence Events,0,7/24/2025 9:12
8,381050,2017,Female,Hispanic or Latino or Spanish Origin,65 to 74,Harm-to-Others Violence Events,0,7/24/2025 9:12
6,627835,2017,Female,Hispanic or Latino or Spanish Origin,65 to 74,Harm-to-Others Violence Events,0,7/24/2025 9:12
9,460966,2017,Female,Hispanic or Latino or Spanish Origin,65 to 74,Harm-to-Others Violence Events,0,7/24/2025 9:12
7,277305,2017,Female,Hispanic or Latino or Spanish Origin,65 to 74,Harm-to-Others Violence Events,0,7/24/2025 9:12
10,487947,2017,Female,Hispanic or Latino or Spanish Origin,65 to 74,Harm-to-Others Violence Events,0,7/24/2025 9:12
8,381050,2017,Female,Hispanic or Latino or Spanish Origin,75 to 84,Harm-to-Others Violence Events,0,7/24/2025 9:12
4,377193,2017,Female,Hispanic or Latino or Spanish Origin,75 to 84,Harm-to-Others Violence Events,0,7/24/2025 9:12
6,627835,2017,Female,Hispanic or Latino or Spanish Origin,75 to 84,Harm-to-Others Violence Events,0,7/24/2025 9:12
9,460966,2017,Female,Hispanic or Latino or Spanish Origin,75 to 84,Harm-to-Others Violence Events,0,7/24/2025 9:12
10,487947,2017,Female,Hispanic or Latino or Spanish Origin,75 to 84,Harm-to-Others Violence Events,0,7/24/2025 9:12
2,655550,2017,Female,Hispanic or Latino or Spanish Origin,75 to 84,Harm-to-Others Violence Events,0,7/24/2025 9:12
3,736313,2017,Female,Hispanic or Latino or Spanish Origin,85+,Harm-to-Others Violence Events,0,7/24/2025 9:12
8,381050,2017,Female,Hispanic or Latino or Spanish Origin,85+,Harm-to-Others Violence Events,0,7/24/2025 9:12
6,627835,2017,Female,Hispanic or Latino or Spanish Origin,85+,Harm-to-Others Violence Events,0,7/24/2025 9:12
9,460966,2017,Female,Hispanic or Latino or Spanish Origin,85+,Harm-to-Others Violence Events,0,7/24/2025 9:12
10,487947,2017,Female,Hispanic or Latino or Spanish Origin,85+,Harm-to-Others Violence Events,0,7/24/2025 9:12
2,655550,2017,Female,Hispanic or Latino or Spanish Origin,85+,Harm-to-Others Violence Events,0,7/24/2025 9:12
1,810835,2017,Female,Hispanic or Latino or Spanish Origin,85+,Harm-to-Others Violence Events,0,7/24/2025 9:12
