county_fips,county_name,cdc_year,cdc_population,rate_range,rate_midpoint,acs_year,acs_total_pop,acs_female_pop,female_share
18001,"Adams County, Indiana",2015,34980,10.1-12,11.05,2023,35995,17987,0.49970829281844703
18003,"Allen County, Indiana",2015,368450,10.1-12,11.05,2023,388791,197503,0.5079927261690729
18005,"Bartholomew County, Indiana",2015,81162,16.1-18,17.05,2023,82881,40949,0.4940698109337484
18007,"Benton County, Indiana",2015,8681,18.1-20,19.05,2023,8708,4244,0.4873679375287092
18009,"Blackford County, Indiana",2015,12298,26.1-28,27.05,2023,12007,6132,0.5107020904472391
18011,"Boone County, Indiana",2015,63344,10.1-12,11.05,2023,72827,36518,0.5014349073832507
18013,"Brown County, Indiana",2015,14977,18.1-20,19.05,2023,15543,7767,0.49971048060220036
18015,"Carroll County, Indiana",2015,19856,12.1-14,13.05,2023,20443,10045,0.4913662378320207
18017,"Cass County, Indiana",2015,37979,6.1-8,7.05,2023,37703,18870,0.5004906771344455
18019,"Clark County, Indiana",2015,115371,18.1-20,19.05,2023,122800,62470,0.50871335504886
18021,"Clay County, Indiana",2015,26503,14.1-16,15.05,2023,26431,13339,0.5046725436041013
18023,"Clinton County, Indiana",2015,32609,16.1-18,17.05,2023,32967,16506,0.5006825006825006
18025,"Crawford County, Indiana",2015,10483,22.1-24,23.05,2023,10494,5199,0.4954259576901086
18027,"Daviess County, Indiana",2015,32906,12.1-14,13.05,2023,33442,16762,0.501226003229472
18033,"DeKalb County, Indiana",2015,42589,12.1-14,13.05,2023,43584,21831,0.5008948237885462
18029,"Dearborn County, Indiana",2015,49455,18.1-20,19.05,2023,50828,25461,0.5009246871802944
18031,"Decatur County, Indiana",2015,26521,16.1-18,17.05,2023,26411,13198,0.4997160274128204
18035,"Delaware County, Indiana",2015,116852,20.1-22,21.05,2023,112109,57908,0.5165330169745516
18037,"Dubois County, Indiana",2015,42461,8.1-10,9.05,2023,43563,21639,0.4967288754218029
18039,"Elkhart County, Indiana",2015,203474,8.1-10,9.05,2023,206868,104237,0.5038817023415898
18041,"Fayette County, Indiana",2015,23434,24.1-26,25.05,2023,23390,11831,0.505814450619923
18043,"Floyd County, Indiana",2015,76778,16.1-18,17.05,2023,80512,41142,0.5110045707472178
18045,"Fountain County, Indiana",2015,16591,12.1-14,13.05,2023,16546,8252,0.49873081107216244
18047,"Franklin County, Indiana",2015,22872,20.1-22,21.05,2023,22929,11530,0.5028566444240917
18049,"Fulton County, Indiana",2015,20315,12.1-14,13.05,2023,20411,10085,0.494096320611435
18051,"Gibson County, Indiana",2015,33775,10.1-12,11.05,2023,32986,16243,0.4924210271024071
18053,"Grant County, Indiana",2015,67979,20.1-22,21.05,2023,66377,34476,0.5193967790047758
18055,"Greene County, Indiana",2015,32441,18.1-20,19.05,2023,30954,15227,0.49192349938618596
18057,"Hamilton County, Indiana",2015,309697,8.1-10,9.05,2023,357176,181604,0.5084440163952785
18059,"Hancock County, Indiana",2015,72520,16.1-18,17.05,2023,82013,41090,0.5010181312718716
18061,"Harrison County, Indiana",2015,39578,10.1-12,11.05,2023,39785,19766,0.496820409702149
18063,"Hendricks County, Indiana",2015,158192,10.1-12,11.05,2023,179379,89272,0.4976725257694602
18065,"Henry County, Indiana",2015,48985,28.1-30,29.05,2023,48896,23105,0.47253354057591623
18067,"Howard County, Indiana",2015,82556,24.1-26,25.05,2023,83610,43009,0.5144001913646693
18069,"Huntington County, Indiana",2015,36630,14.1-16,15.05,2023,36757,18330,0.4986805234377125
18071,"Jackson County, Indiana",2015,44069,16.1-18,17.05,2023,46319,22697,0.4900148966946609
18073,"Jasper County, Indiana",2015,33470,12.1-14,13.05,2023,33198,16662,0.5018977046810049
18075,"Jay County, Indiana",2015,21121,16.1-18,17.05,2023,20281,10076,0.4968196834475618
18077,"Jefferson County, Indiana",2015,32416,12.1-14,13.05,2023,33074,17168,0.5190784301868537
18079,"Jennings County, Indiana",2015,27897,18.1-20,19.05,2023,27584,13569,0.49191560324825984
18081,"Johnson County, Indiana",2015,149633,14.1-16,15.05,2023,163983,82751,0.5046315776635383
18083,"Knox County, Indiana",2015,37927,14.1-16,15.05,2023,36108,17760,0.49185776005317383
18085,"Kosciusko County, Indiana",2015,78620,10.1-12,11.05,2023,80357,40150,0.4996453327028137
