county_fips,county_name,county_rank,composite_need_score,is_dove_house,female_share,overdose_rate_midpoint,rate_range,min_drive_time_min,avg_drive_time_min,otp_access_tier,poverty_rate_pct,median_hh_income,single_mother_pct,unemployment_rate_pct,uninsured_rate_pct,rent_burden_30pct_rate,mh_events_per_100k,self_harm_per_100k,n_overdose,n_drive_time,n_poverty,n_single_mom,n_unemployment,n_uninsured,n_mh_events
18009,Blackford County,1,58.0,False,0.5107,13.81,26.1-28,22.5,22.5,15–30 min,8.94,47560,7.2,2.81,3.83,41.6,2136.26,270.7,95.05,22.22,70.31,55.56,60.38,11.14,16.0
18041,Fayette County,2,55.8,False,0.5058,12.67,24.1-26,22.5,30.0,15–30 min,8.45,56659,8.5,2.07,3.03,48.3,3548.59,1087.0,85.49,22.22,65.21,73.61,40.16,7.18,29.6
18053,Grant County,2,55.8,False,0.5194,10.93,20.1-22,7.5,11.6,0–15 min,9.76,54007,8.5,3.48,3.74,37.7,6318.86,1402.0,70.89,0.0,78.85,73.61,78.69,10.69,56.28
18095,Madison County,4,54.2,False,0.4957,14.4,28.1-30,7.5,21.4,0–15 min,6.39,62632,8.8,2.83,3.97,42.1,4811.61,1506.6,100.0,0.0,43.75,77.78,60.93,11.83,41.76
18035,Delaware County,5,53.4,False,0.5165,10.87,20.1-22,7.5,7.5,0–15 min,10.28,56932,7.9,3.2,3.72,47.7,3659.4,891.1,70.39,0.0,84.27,65.28,71.04,10.59,30.67
18177,Wayne County,6,53.2,False,0.5119,11.8,22.1-24,7.5,17.0,0–15 min,8.65,56652,8.7,2.71,5.48,45.4,4541.78,1971.9,78.19,0.0,67.29,76.39,57.65,19.31,39.16
18067,Howard County,7,52.1,False,0.5144,12.89,24.1-26,7.5,7.5,0–15 min,6.43,62496,9.1,2.93,3.45,44.6,5351.05,1686.0,87.33,0.0,44.17,81.94,63.66,9.26,46.96
18025,Crawford County,8,49.9,False,0.4954,11.42,22.1-24,37.5,56.8,30–45 min,11.79,48993,3.2,1.29,3.22,32.1,474.44,69.1,75.0,44.44,100.0,0.0,18.85,8.12,0.0
18163,Vanderburgh County,9,49.4,False,0.5117,11.79,22.1-24,7.5,7.5,0–15 min,7.37,60938,8.9,2.25,3.74,43.4,5037.53,1531.2,78.1,0.0,53.96,79.17,45.08,10.69,43.94
18065,Henry County,10,48.7,False,0.4725,13.73,28.1-30,22.5,28.9,15–30 min,6.14,60144,6.6,1.94,3.17,34.3,3092.13,894.5,94.38,22.22,41.15,47.22,36.61,7.87,25.21
18097,Marion County,11,48.0,True,0.5156,9.82,18.1-20,7.5,7.5,0–15 min,7.79,63450,9.2,2.63,4.64,48.4,5008.69,1709.8,61.58,0.0,58.33,83.33,55.46,15.15,43.66
18153,Sullivan County,12,47.0,False,0.4561,10.51,22.1-24,22.5,29.2,15–30 min,6.16,54985,8.6,2.33,3.1,32.4,2755.62,759.0,67.37,22.22,41.35,75.0,47.27,7.52,21.97
18167,Vigo County,13,46.7,False,0.4951,8.44,16.1-18,7.5,10.7,0–15 min,9.9,52525,7.8,3.02,3.81,51.8,3399.06,1615.6,50.0,0.0,80.31,63.89,66.12,11.04,28.16
