county_fips,county_name,total_pop,female_pop,female_share_pct,female_share
18001,Adams County,35995,17987,50.0,0.4997
18003,Allen County,388791,197503,50.8,0.508
18005,Bartholomew County,82881,40949,49.4,0.4941
18007,Benton County,8708,4244,48.7,0.4874
18009,Blackford County,12007,6132,51.1,0.5107
18011,Boone County,72827,36518,50.1,0.5014
18013,Brown County,15543,7767,50.0,0.4997
18015,Carroll County,20443,10045,49.1,0.4914
18017,Cass County,37703,18870,50.0,0.5005
18019,Clark County,122800,62470,50.9,0.5087
18021,Clay County,26431,13339,50.5,0.5047
18023,Clinton County,32967,16506,50.1,0.5007
18025,Crawford County,10494,5199,49.5,0.4954
18027,Daviess County,33442,16762,50.1,0.5012
18029,Dearborn County,50828,25461,50.1,0.5009
18031,Decatur County,26411,13198,50.0,0.4997
18033,DeKalb County,43584,21831,50.1,0.5009
18035,Delaware County,112109,57908,51.7,0.5165
18037,Dubois County,43563,21639,49.7,0.4967
18039,Elkhart County,206868,104237,50.4,0.5039
18041,Fayette County,23390,11831,50.6,0.5058
18043,Floyd County,80512,41142,51.1,0.511
18045,Fountain County,16546,8252,49.9,0.4987
18047,Franklin County,22929,11530,50.3,0.5029
18049,Fulton County,20411,10085,49.4,0.4941
18051,Gibson County,32986,16243,49.2,0.4924
18053,Grant County,66377,34476,51.9,0.5194
18055,Greene County,30954,15227,49.2,0.4919
18057,Hamilton County,357176,181604,50.8,0.5084
18059,Hancock County,82013,41090,50.1,0.501
18061,Harrison County,39785,19766,49.7,0.4968
18063,Hendricks County,179379,89272,49.8,0.4977
18065,Henry County,48896,23105,47.3,0.4725
18067,Howard County,83610,43009,51.4,0.5144
18069,Huntington County,36757,18330,49.9,0.4987
18071,Jackson County,46319,22697,49.0,0.49
18073,Jasper County,33198,16662,50.2,0.5019
18075,Jay County,20281,10076,49.7,0.4968
18077,Jefferson County,33074,17168,51.9,0.5191
18079,Jennings County,27584,13569,49.2,0.4919
18081,Johnson County,163983,82751,50.5,0.5046
18083,Knox County,36108,17760,49.2,0.4919
18085,Kosciusko County,80357,40150,50.0,0.4996
18087,LaGrange County,40596,19959,49.2,0.4916
18089,Lake County,498990,256128,51.3,0.5133
18091,LaPorte County,112141,54005,48.2,0.4816
18093,Lawrence County,45077,22823,50.6,0.5063
18095,Madison County,130949,64907,49.6,0.4957
18097,Marion County,971822,501089,51.6,0.5156
18099,Marshall County,46225,22835,49.4,0.494
18101,Martin County,9854,4782,48.5,0.4853
18103,Miami County,35772,16377,45.8,0.4578
18105,Monroe County,139822,70119,50.1,0.5015
18107,Montgomery County,38155,18725,49.1,0.4908
18109,Morgan County,72202,36221,50.2,0.5017
18111,Newton County,13859,6782,48.9,0.4894
18113,Noble County,47417,23457,49.5,0.4947
18115,Ohio County,5993,3017,50.3,0.5034
18117,Orange County,19746,9840,49.8,0.4983
18119,Owen County,21434,10585,49.4,0.4938
18121,Parke County,16346,8485,51.9,0.5191
18123,Perry County,19218,8729,45.4,0.4542
18125,Pike County,12187,6124,50.3,0.5025
18127,Porter County,174150,87928,50.5,0.5049
18129,Posey County,25163,12527,49.8,0.4978
18131,Pulaski County,12441,6259,50.3,0.5031
18133,Putnam County,37091,17516,47.2,0.4722
18135,Randolph County,24425,12214,50.0,0.5001
18137,Ripley County,29039,14505,50.0,0.4995
18139,Rush County,16734,8399,50.2,0.5019
18141,St. Joseph County,272574,139102,51.0,0.5103
18143,Scott County,24468,12356,50.5,0.505
18145,Shelby County,45104,22710,50.4,0.5035
18147,Spencer County,19871,9713,48.9,0.4888
18149,Starke County,23300,11553,49.6,0.4958
18151,Steuben County,34648,16661,48.1,0.4809
18153,Sullivan County,20766,9472,45.6,0.4561
18155,Switzerland County,9914,4876,49.2,0.4918
18157,Tippecanoe County,187399,91425,48.8,0.4879
18159,Tipton County,15329,7607,49.6,0.4962
18161,Union County,7028,3553,50.6,0.5055
18163,Vanderburgh County,179908,92059,51.2,0.5117
18165,Vermillion County,15452,7668,49.6,0.4962
18167,Vigo County,106201,52585,49.5,0.4951
18169,Wabash County,30901,15739,50.9,0.5093
18171,Warren County,8469,4250,50.2,0.5018
18173,Warrick County,64650,32886,50.9,0.5087
18175,Washington County,28167,14166,50.3,0.5029
18177,Wayne County,66377,33981,51.2,0.5119
18179,Wells County,28261,14265,50.5,0.5048
18181,White County,24709,12249,49.6,0.4957
18183,Whitley County,34388,17168,49.9,0.4992
