county_fips,county_name,county_short,zcta_count,min_drive_time_min,avg_drive_time_min,max_drive_time_min,otp_access_tier
18001,Adams County,Adams,4,22.5,37.5,52.5,15–30 min
18003,Allen County,Allen,27,7.5,11.4,22.5,0–15 min
18005,Bartholomew County,Bartholomew,8,7.5,20.6,37.5,0–15 min
18007,Benton County,Benton,6,22.5,35.0,52.5,15–30 min
18009,Blackford County,Blackford,2,22.5,22.5,22.5,15–30 min
18011,Boone County,Boone,5,7.5,16.5,22.5,0–15 min
18013,Brown County,Brown,2,7.5,15.0,22.5,0–15 min
18015,Carroll County,Carroll,7,22.5,22.5,22.5,15–30 min
18017,Cass County,Cass,9,22.5,29.2,37.5,15–30 min
18019,Clark County,Clark,13,7.5,15.6,22.5,0–15 min
18021,Clay County,Clay,11,22.5,26.6,37.5,15–30 min
18023,Clinton County,Clinton,7,7.5,18.2,22.5,0–15 min
18025,Crawford County,Crawford,7,37.5,56.8,75.0,30–45 min
18027,Daviess County,Daviess,6,22.5,35.0,37.5,15–30 min
18033,DeKalb County,DeKalb,8,22.5,30.0,37.5,15–30 min
18029,Dearborn County,Dearborn,6,7.5,12.5,22.5,0–15 min
18031,Decatur County,Decatur,5,22.5,34.5,37.5,15–30 min
18035,Delaware County,Delaware,12,7.5,7.5,7.5,0–15 min
18037,Dubois County,Dubois,9,37.5,55.8,75.0,30–45 min
18039,Elkhart County,Elkhart,11,22.5,30.7,37.5,15–30 min
18041,Fayette County,Fayette,2,22.5,30.0,37.5,15–30 min
18043,Floyd County,Floyd,4,7.5,15.0,22.5,0–15 min
18045,Fountain County,Fountain,7,22.5,35.4,52.5,15–30 min
18047,Franklin County,Franklin,7,22.5,28.9,37.5,15–30 min
18049,Fulton County,Fulton,5,37.5,49.5,52.5,30–45 min
18051,Gibson County,Gibson,11,22.5,25.2,37.5,15–30 min
18053,Grant County,Grant,11,7.5,11.6,22.5,0–15 min
18055,Greene County,Greene,10,7.5,30.0,37.5,0–15 min
18057,Hamilton County,Hamilton,13,7.5,15.6,22.5,0–15 min
