county_fips,county_short_raw,year,mh_events_total,self_harm_events,homicide_harm_events,county_name,total_pop,mh_events_per_100k,self_harm_per_100k
18001,ADAMS,2017,782.0,72.0,542.0,Adams County,35995,2172.5,200.0
18001,ADAMS,2018,831.0,65.0,472.0,Adams County,35995,2308.7,180.6
18001,ADAMS,2019,1188.0,112.0,457.0,Adams County,35995,3300.5,311.2
18001,ADAMS,2020,1109.0,134.0,510.0,Adams County,35995,3081.0,372.3
18001,ADAMS,2021,1579.0,168.0,722.0,Adams County,35995,4386.7,466.7
18001,ADAMS,2022,1539.0,175.0,635.0,Adams County,35995,4275.6,486.2
18001,ADAMS,2023,1726.0,224.0,688.0,Adams County,35995,4795.1,622.3
18001,ADAMS,2024,1577.0,146.0,581.0,Adams County,35995,4381.2,405.6
18003,ALLEN,2017,9783.0,1222.0,2778.0,Allen County,388791,2516.3,314.3
18003,ALLEN,2018,7323.0,675.0,3318.0,Allen County,388791,1883.5,173.6
18003,ALLEN,2019,24758.0,3788.0,8955.0,Allen County,388791,6367.9,974.3
18003,ALLEN,2020,24127.0,3513.0,8831.0,Allen County,388791,6205.6,903.6
18003,ALLEN,2021,26791.0,3861.0,9033.0,Allen County,388791,6890.8,993.1
18003,ALLEN,2022,29896.0,4385.0,9783.0,Allen County,388791,7689.5,1127.9
18003,ALLEN,2023,31138.0,4512.0,9611.0,Allen County,388791,8008.9,1160.5
18003,ALLEN,2024,31237.0,4047.0,9793.0,Allen County,388791,8034.4,1040.9
18005,BARTHOLOMEW,2017,8560.0,1175.0,2773.0,Bartholomew County,82881,10328.1,1417.7
18005,BARTHOLOMEW,2018,8105.0,1143.0,2134.0,Bartholomew County,82881,9779.1,1379.1
18005,BARTHOLOMEW,2019,5132.0,717.0,1739.0,Bartholomew County,82881,6192.0,865.1
18005,BARTHOLOMEW,2020,4784.0,689.0,2125.0,Bartholomew County,82881,5772.1,831.3
18005,BARTHOLOMEW,2021,6871.0,1133.0,3085.0,Bartholomew County,82881,8290.2,1367.0
18005,BARTHOLOMEW,2022,7723.0,1272.0,3573.0,Bartholomew County,82881,9318.2,1534.7
18005,BARTHOLOMEW,2023,8193.0,1239.0,3876.0,Bartholomew County,82881,9885.3,1494.9
18005,BARTHOLOMEW,2024,8473.0,1141.0,3615.0,Bartholomew County,82881,10223.1,1376.7
18007,BENTON,2017,107.0,16.0,81.0,Benton County,8708,1228.8,183.7
18007,BENTON,2018,119.0,20.0,68.0,Benton County,8708,1366.6,229.7
18007,BENTON,2019,146.0,24.0,77.0,Benton County,8708,1676.6,275.6
18007,BENTON,2020,185.0,31.0,114.0,Benton County,8708,2124.5,356.0
18007,BENTON,2021,231.0,32.0,125.0,Benton County,8708,2652.7,367.5
18007,BENTON,2022,213.0,24.0,138.0,Benton County,8708,2446.0,275.6
18007,BENTON,2023,245.0,44.0,141.0,Benton County,8708,2813.5,505.3
18007,BENTON,2024,243.0,40.0,167.0,Benton County,8708,2790.5,459.3
18009,BLACKFORD,2017,399.0,32.0,133.0,Blackford County,12007,3323.1,266.5
18009,BLACKFORD,2018,813.0,71.0,326.0,Blackford County,12007,6771.1,591.3
18009,BLACKFORD,2019,565.0,38.0,206.0,Blackford County,12007,4705.6,316.5
18009,BLACKFORD,2020,549.0,21.0,213.0,Blackford County,12007,4572.3,174.9
18009,BLACKFORD,2021,543.0,30.0,251.0,Blackford County,12007,4522.4,249.9
18009,BLACKFORD,2022,567.0,28.0,275.0,Blackford County,12007,4722.2,233.2
18009,BLACKFORD,2023,462.0,40.0,183.0,Blackford County,12007,3847.8,333.1
18009,BLACKFORD,2024,120.0,0.0,99.0,Blackford County,12007,999.4,0.0
18011,BOONE,2017,2118.0,173.0,1347.0,Boone County,72827,2908.3,237.5
18011,BOONE,2018,4335.0,299.0,2548.0,Boone County,72827,5952.5,410.6
18011,BOONE,2019,4757.0,301.0,2585.0,Boone County,72827,6531.9,413.3
18011,BOONE,2020,3985.0,324.0,2076.0,Boone County,72827,5471.9,444.9
18011,BOONE,2021,4698.0,402.0,2370.0,Boone County,72827,6450.9,552.0
18011,BOONE,2022,5205.0,349.0,2200.0,Boone County,72827,7147.1,479.2
18011,BOONE,2023,6606.0,399.0,3066.0,Boone County,72827,9070.8,547.9
18011,BOONE,2024,5628.0,403.0,2804.0,Boone County,72827,7727.9,553.4
18013,BROWN,2017,198.0,24.0,194.0,Brown County,15543,1273.9,154.4
