county_fips,county_name,female_pop,total_pop,female_share,overdose_rate_midpoint,rate_range,min_drive_time_min,otp_access_tier,poverty_rate_pct,single_mother_pct,unemployment_rate_pct,uninsured_rate_pct,mh_events_per_100k,n_overdose,n_drive_time,n_poverty,n_single_mom,n_unemployment,n_uninsured,n_mh_events,composite_need_score,county_rank
18009,Blackford County,6132,12007,0.5107,13.81,26.1-28,22.5,15–30 min,8.94,7.2,2.81,3.83,2136.26,95.05,22.22,70.31,55.56,60.38,11.14,16.0,58.0,1
18041,Fayette County,11831,23390,0.5058,12.67,24.1-26,22.5,15–30 min,8.45,8.5,2.07,3.03,3548.59,85.49,22.22,65.21,73.61,40.16,7.18,29.6,55.8,2
18053,Grant County,34476,66377,0.5194,10.93,20.1-22,7.5,0–15 min,9.76,8.5,3.48,3.74,6318.86,70.89,0.0,78.85,73.61,78.69,10.69,56.28,55.8,2
18095,Madison County,64907,130949,0.4957,14.4,28.1-30,7.5,0–15 min,6.39,8.8,2.83,3.97,4811.61,100.0,0.0,43.75,77.78,60.93,11.83,41.76,54.2,4
18035,Delaware County,57908,112109,0.5165,10.87,20.1-22,7.5,0–15 min,10.28,7.9,3.2,3.72,3659.4,70.39,0.0,84.27,65.28,71.04,10.59,30.67,53.4,5
18177,Wayne County,33981,66377,0.5119,11.8,22.1-24,7.5,0–15 min,8.65,8.7,2.71,5.48,4541.78,78.19,0.0,67.29,76.39,57.65,19.31,39.16,53.2,6
18067,Howard County,43009,83610,0.5144,12.89,24.1-26,7.5,0–15 min,6.43,9.1,2.93,3.45,5351.05,87.33,0.0,44.17,81.94,63.66,9.26,46.96,52.1,7
18025,Crawford County,5199,10494,0.4954,11.42,22.1-24,37.5,30–45 min,11.79,3.2,1.29,3.22,474.44,75.0,44.44,100.0,0.0,18.85,8.12,0.0,49.9,8
18163,Vanderburgh County,92059,179908,0.5117,11.79,22.1-24,7.5,0–15 min,7.37,8.9,2.25,3.74,5037.53,78.1,0.0,53.96,79.17,45.08,10.69,43.94,49.4,9
18065,Henry County,23105,48896,0.4725,13.73,28.1-30,22.5,15–30 min,6.14,6.6,1.94,3.17,3092.13,94.38,22.22,41.15,47.22,36.61,7.87,25.21,48.7,10
18097,Marion County,501089,971822,0.5156,9.82,18.1-20,7.5,0–15 min,7.79,9.2,2.63,4.64,5008.69,61.58,0.0,58.33,83.33,55.46,15.15,43.66,48.0,11
18153,Sullivan County,9472,20766,0.4561,10.51,22.1-24,22.5,15–30 min,6.16,8.6,2.33,3.1,2755.62,67.37,22.22,41.35,75.0,47.27,7.52,21.97,47.0,12
18167,Vigo County,52585,106201,0.4951,8.44,16.1-18,7.5,0–15 min,9.9,7.8,3.02,3.81,3399.06,50.0,0.0,80.31,63.89,66.12,11.04,28.16,46.7,13
18049,Fulton County,10085,20411,0.4941,6.45,12.1-14,37.5,30–45 min,6.23,7.9,3.66,4.89,3310.96,33.31,44.44,42.08,65.28,83.61,16.39,27.31,46.0,14
18131,Pulaski County,6259,12441,0.5031,10.59,20.1-22,37.5,30–45 min,5.94,7.2,1.41,3.77,2215.05,68.04,44.44,39.06,55.56,22.13,10.84,16.76,45.6,15
18123,Perry County,8729,19218,0.4542,5.93,12.1-14,75.0,60+ min,5.81,4.9,2.32,2.5,3696.1,28.94,100.0,37.71,23.61,46.99,4.55,31.02,44.8,16
18117,Orange County,9840,19746,0.4983,6.5,12.1-14,52.5,45–60 min,6.63,7.9,1.45,3.54,2013.78,33.72,66.67,46.25,65.28,23.22,9.7,14.82,44.4,17
